commune,societe,nb_atm,commune_norm,latitude,longitude
tabriquet,??????? ?????,2,tabriquet,34.0554847,-6.7887259
tabriquet,Al Barid Bank,1,tabriquet,34.0554847,-6.7887259
tabriquet,BMCE Bank,1,tabriquet,34.0554847,-6.7887259
tabriquet,CIH Bank,1,tabriquet,34.0554847,-6.7887259
tabriquet,Inconnue,1,tabriquet,34.0554847,-6.7887259
tabriquet,????? ??????,1,tabriquet,34.0554847,-6.7887259
tabriquet,??????? ??? ???,1,tabriquet,34.0554847,-6.7887259
tabriquet,????? ??????? ????????,1,tabriquet,34.0554847,-6.7887259
tafraout,Inconnue,2,tafraout,29.720472,-8.9744529
tafraout,Banque populaire,1,tafraout,29.720472,-8.9744529
tahannaout,Crédit Agricole,1,tahannaout,31.3672735,-7.9447676
tanant,Inconnue,1,tanant,31.862498,-6.942027
tanger-médina,Inconnue,6,tangermedina,35.786408,-5.8109634
tanger-médina,????? ??????,1,tangermedina,35.786408,-5.8109634
taroudannt,Inconnue,1,taroudannt,30.4719787,-8.8669712
tata,Inconnue,2,tata,29.746392,-7.9696051
taza,CIH Bank,1,taza,34.230155,-4.010104
taza,Inconnue,1,taza,34.230155,-4.010104
tazarine,Inconnue,1,tazarine,33.9124625,-4.1251835
tinghir,Inconnue,5,tinghir,31.52133,-5.531164
témara,Inconnue,1,temara,33.917166,-6.923804
tétouan,Inconnue,2,tetouan,35.570175,-5.3742776
tétouan,Attijariwafa,1,tetouan,35.570175,-5.3742776
tétouan,Bmce,1,tetouan,35.570175,-5.3742776
tétouan,Société Générale,1,tetouan,35.570175,-5.3742776
yacoub el mansour,Inconnue,2,yacoubelmansour,33.9738778,-6.8926131
zagora,Inconnue,2,zagora,30.3279053,-5.8369957
