commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang
Sidi Kacem	1.26	3.6	2.0	0.961589757268605	0.952054794520548	0.971671388101983	0.9607	Bon	141
Had Soualem	1.13	3.2	3.2	0.9685249399839957	0.9611872146118722	0.9376770538243626	0.9602	Bon	142
Guercif	1.24	3.5	2.4	0.9626567084555882	0.954337899543379	0.9603399433427762	0.9597	Bon	143
Oulad Teima	1.3	3.7	1.9	0.9594558548946386	0.9497716894977168	0.9745042492917847	0.9596	Bon	144
Tiflet	1.27	3.6	2.2	0.9610562816751134	0.952054794520548	0.9660056657223796	0.9593	Bon	145
Ribate El Kheir	1.11	3.3	3.4	0.9695918911709789	0.9589041095890412	0.9320113314447592	0.9589	Bon	146
Bouarfa	1.11	3.0	3.8	0.9695918911709789	0.9657534246575342	0.9206798866855525	0.9587	Bon	147
Sidi Ouassay	1.24	3.5	2.7	0.9626567084555882	0.954337899543379	0.9518413597733711	0.958	Bon	148
M'rirt	1.32	3.8	2.0	0.9583889037076554	0.9474885844748858	0.971671388101983	0.9578	Bon	149
Boudnib	1.32	3.6	2.3	0.9583889037076554	0.952054794520548	0.9631728045325779	0.9574	Bon	150
Agdz	0.85	2.2	6.3	0.9834622566017605	0.9840182648401826	0.8498583569405099	0.9569	Bon	151
Missour	1.21	3.1	3.6	0.9642571352360629	0.9634703196347032	0.9263456090651558	0.9564	Bon	152
Bejaad	1.38	3.8	2.0	0.9551880501467058	0.9474885844748858	0.971671388101983	0.9562	Bon	153
Ouezzane	1.34	3.8	2.3	0.9573219525206722	0.9474885844748858	0.9631728045325779	0.9555	Bon	154
Azemmour	1.27	3.5	3.0	0.9610562816751134	0.954337899543379	0.943342776203966	0.9555	Bon	154
Zouagha	1.42	4.1	1.6	0.9530541477727394	0.9406392694063928	0.9830028328611898	0.9553	Bon	156
Saidia	1.4	3.7	2.3	0.9541210989597226	0.9497716894977168	0.9631728045325779	0.9546	Bon	157
Sidi Hajjaj Oued Hassar	1.08	3.0	4.8	0.9711923179514537	0.9657534246575342	0.8923512747875354	0.9538	Bon	158
Tinghir	1.31	3.6	3.0	0.958922379301147	0.952054794520548	0.943342776203966	0.9537	Bon	159
Youssoufia	1.48	4.2	1.5	0.9498532942117898	0.9383561643835616	0.9858356940509915	0.9536	Bon	160
Kasba Tadla	1.35	3.8	2.6	0.9567884769271806	0.9474885844748858	0.9546742209631728	0.9536	Bon	160
Hattane	1.52	4.5	1.0	0.9477193918378234	0.9315068493150684	1.0	0.9533	Bon	162
