Libelle Arabe;commune;taux_vieillesse;commune_norm
???????;Tilougguite;11.8;tilougguite
???????;Louadaine;11.8;louadaine
?????;Ighoud;11.8;ighoud
????????;Loudaya;11.8;loudaya
???????;Aghouatim;11.8;aghouatim
?????;Lkheng;11.8;lkheng
???? ???? ?????;Aarab Sebbah Gheris;11.8;aarabsebbahgheris
??????;Es-Sifa;11.8;essifa
??????;Zmamra;11.7;zmamra
???? ?? ????;Kasbat Ben Mchich;11.7;kasbatbenmchich
?????;Loulad;11.7;loulad
????;Mayate;11.7;mayate
???? ??????;Sidi El Hattab;11.7;sidielhattab
??? ???? ???????;Bni Ahmed Gharbia;11.7;bniahmedgharbia
??? ??????;Bni Bounsar;11.7;bnibounsar
??? ????;Bni Mathar;11.7;bnimathar
????????;Imintanoute;11.7;imintanoute
???????;El Guerdane;11.7;elguerdane
????? ?????;Aouint Yghomane;11.7;aouintyghomane
?????;Msied;11.7;msied
???????;Choara;11.7;choara
????? ???? ??????;Oulad Yahia Lagraire;11.7;ouledyahialagraire
????? ????;Ouled Ghanem;11.6;ouledghanem
???? ???? ??????;Sidi Ameur Al Hadi;11.6;sidiameurelhadi
?????;Lamharra;11.6;lamharra
??? ????;Ait Ouallal;11.6;aitouallal
???????;Zinat;11.6;zinat
?????;Tanaqoub;11.6;tanaqoub
??????;Taoughilt;11.6;taoughilt
?????;Rhafsai;11.6;rhafsai
?????;Bouarg;11.6;bouarg
?????;Anemzi;11.6;anemzi
???? ?????;Sidi Yacoub;11.6;sidiyacoub
??? ?????;Sti Fadma;11.6;stifadma
??? ?????;Ait Tamlil;11.6;aittamlil
???? ?????;Kalâat M'gouna;11.6;kalaatmgouna
??????;Tamezmoute;11.6;tamezmoute
???????;El Beddouza;11.5;elbeddouza
???????;Médina;11.5;medina
???????;Souaken;11.5;souaken
???????;El Marbouh;11.5;elmarbouh
??????;Tagleft;11.5;tagleft
??? ??? ????;Dar Bni Karrich;11.5;darbnikarrich
????????;Derdara;11.5;derdara
??? ???? ???????;Bni Gmil Maksouline;11.5;bnigmilmaksouline
?????;Zaida;11.5;zaida
???????;Bouyablane;11.5;bouyablane
?????;Imider;11.5;imider
????????;Loualidia;11.4;loualidia
????;Ayir;11.4;ayir
????? ????;Oulad Aissa;11.4;ouledaissa
????????;Khnichet;11.4;khnichet
????????;Skhirate;11.4;skhirate
????? ????;Oulad Sbih;11.4;ouledsbih
??????;Azilal;11.4;azilal
????????;Mkansa;11.4;mkansa
??? ???? ????? ?????;Bni Oukil Oulad M'hand;11.4;bnioukilouledmhand
??? ??????;Ain Cheggag;11.4;aincheggag
????? ?????;Ouled Ghziyel;11.4;ouledghziyel
?????;Mrija;11.4;mrija
?????;Aourir;11.4;aourir
?????;Agafay;11.4;agafay
??????;Tamallalt;11.4;tamallalt
??? ?????;Ait Faska;11.4;aitfaska
???????;Bouzeroual;11.4;bouzeroual
??????;Fezouata;11.4;fezouata
?????? ????????;Rissana Chamalia;11.3;rissanachamalia
??????;Laghdira;11.3;laghdira
???????;Nouaceur;11.3;nouaceur
?????;Berrechid;11.3;berrechid
?????;Tizgane;11.3;tizgane
?????;Amtar;11.3;amtar
???????;Targuist;11.3;targuist
??????;Bouanane;11.3;bouanane
???? ??????;Sidi Boumoussa;11.3;sidiboumoussa
????? ?????;Oulad Teima;11.3;ouledteima
??? ??????;Ait Oumdis;11.3;aitoumdis
?????;Sefsaf;11.2;sefsaf
????? ?????;Oulad Chbana;11.2;ouledchbana
???? ???? ????????;Sidi Allal El Bahraoui;11.2;sidiallalelbahraoui
???? ????;Sidi Aayad;11.2;sidiaayad
????? ???? ??? ??????;Ouled Sidi Abdelhakem;11.2;ouledsidiabdelhakem
?????;Ahdil;11.2;ahdil
??????;Tan-Tan;11.2;tantan
??????;Tarmigt;11.2;tarmigt
???????;Tinzouline;11.2;tinzouline
??? ????;Bni Zoli;11.2;bnizoli
??????;Arbaoua;11.1;arbaoua
??? ???????;Dar Gueddari;11.1;dargueddari
???? ??????;Lbir Jdid;11.1;lbirjdid
????;Sabbah;11.1;sabbah
?????;Anjra;11.1;anjra
?????;Martil;11.1;martil
????;Saka;11.1;saka
???????;Laajajra;11.1;laajajra
??? ?????;Ain Kansara;11.1;ainkansara
???? ???? ?????;Kandar Sidi Khiar;11.1;kandarsidikhiar
?????;Missour;11.1;missour
??? ?????;Ait M'hamed;11.1;aitmhamed
???????;Ouarzazate;11.1;ouarzazate
????? ???? ????;Tiffert N'ait Hamza;11.0;tiffertnaithamza
??? ????;Bni Said;11.0;bnisaid
????????;Imindounit;11.0;imindounit
???????;Al Ouidane;11.0;elouidane
??? ?????;Ait Ourir;11.0;aitourir
??????;Steha;10.9;steha
???? ????;Sidi Daoud;10.9;sididaoud
???????;M'haya;10.9;mhaya
?????;Tabant;10.9;tabant
??? ????;Ait Ouallal;10.9;aitouallal
????? ?????;Ouled Hcine;10.8;ouledhcine
??? ?????;Ain Harrouda;10.8;ainharrouda
??????;Mediouna;10.8;mediouna
????????;Jaafra;10.8;jaafra
????? ????;Oulad Zarrad;10.8;ouledzarrad
??? ???????;Dar Bel Amri;10.8;darbelamri
??????;M'diq;10.8;mdiq
??????;Tassift;10.8;tassift
?????;Zouagha;10.8;zouagha
???? ???? ??????;Sidi Moussa Lhamri;10.8;sidimoussalhamri
????? ?????;Oulad Berhil;10.8;ouledberhil
????????;Souihla;10.8;souihla
???????;M'semrir;10.8;msemrir
?????;Arfoud;10.8;arfoud
????????;M'saada;10.7;msaada
????;Azla;10.7;azla
??? ?????;Bni Faghloum;10.7;bnifaghloum
??? ?????;Bni Darkoul;10.7;bnidarkoul
??? ????????;Sebt Loudaya;10.7;sebtloudaya
???? ??? ???? ??????;Sidi Abdellah Al Khayat;10.7;sidiabdellahelkhayat
???????;Dkhissa;10.7;dkhissa
??????? ???????;Zaouia Annahlia;10.7;zaouiaannahlia
???? ???????;Ahmar Laglalcha;10.7;ahmarlaglalcha
???????;Tameslohte;10.7;tameslohte
???????;Taznakht;10.7;taznakht
??????;Ternata;10.7;ternata
??? ???? ???;Aarab Sebbah Ziz;10.7;aarabsebbahziz
?????;Zouada;10.6;zouada
??? ????;Ksar Bjir;10.6;ksarbjir
????? ?????;Ouled H'cine;10.6;ouledhcine
??? ??????;Jorf El Melha;10.6;jorfelmelha
??? ?????;Sebaa Rouadi;10.6;sebaarouadi
???? ??? ??????;Sidi Ali Bel Quassem;10.6;sidialibelquassem
??? ?????;Ait Iaaza;10.6;aitiaaza
????????;Laattaouia;10.6;laattaouia
??? ?????-??? ????;Ait Hkim-Ait Yzid;10.6;aithkimaityzid
?????;Ouaoula;10.6;ouaoula
???? ??????;Ighil N'oumgoun;10.6;ighilnoumgoun
????? ??????;Ksar Sghir;10.5;ksarsghir
??? ????;Beni Malek;10.5;benimalek
???? ??????;Sidi Al Kamel;10.5;sidielkamel
????? ????;Oulad Ziyane;10.5;ouledziyane
???? ???? ???????;Sidi Moussa El Majdoub;10.5;sidimoussaelmajdoub
??? ????;Ben Guerir;10.5;benguerir
???? ??? ???????;Sidi Bouknadel;10.5;sidibouknadel
?????????;Sahtryine;10.5;sahtryine
?????;Saddina;10.5;saddina
???????;Al Hamra;10.5;elhamra
???? ?????;Jnan El Ouard;10.5;jnanelouard
?????;Tissaf;10.5;tissaf
???????;Lamzoudia;10.5;lamzoudia
??? ????;Ait Melloul;10.5;aitmelloul
?????;Belfaâ;10.5;belfaa
???? ???????;Sidi Bou Othmane;10.5;sidibouothmane
??????;Ikniouen;10.5;ikniouen
????????;Er-Rissani;10.5;errissani
???? ????;Sidi Abed;10.4;sidiabed
????? ????;Jnane Bouih;10.4;jnanebouih
????? ?????;Oulad Ouchih;10.4;ouledouchih
????? ????;Ouled Salah;10.4;ouledsalah
??? ???;Bni Idder;10.4;bniidder
????;Majjate;10.4;majjate
????;Tissa;10.4;tissa
??? ??? ????;Ait Haddou Youssef;10.4;aithaddouyoussef
???? ?????;Sidi Dahmane;10.4;sididahmane
????????;Bouizakarne;10.4;bouizakarne
???;Assa;10.4;assa
??????;Ouaklim;10.4;ouaklim
???? ???;Sidi Ali;10.4;sidiali
?????? ????????;Rissana Janoubia;10.3;rissanajanoubia
??? ?????;Ain Tizgha;10.3;aintizgha
???????;Fnideq;10.3;fnideq
??? ?????;Bni Bouzra;10.3;bnibouzra
??? ?????? ???????;Abdelghaya Souahel;10.3;abdelghayasouahel
??? ???? ???????;Bni Ahmed Imoukzan;10.3;bniahmedimoukzan
????;Mikkes;10.3;mikkes
??????;Gteter;10.3;gteter
?????;Tiglit;10.3;tiglit
????;Agdz;10.3;agdz
???????;Rmilat;10.2;rmilat
????????;Layayda;10.2;layayda
???????;Boutferda;10.2;boutferda
????? ???? ????;Zaouiat Sidi Kacem;10.2;zaouiatsidikacem
??? ??????;Bni Bouchibet;10.2;bnibouchibet
??????;Ourika;10.2;ourika
??? ??????;Ait Bou Oulli;10.2;aitbououlli
??????;Errouha;10.2;errouha
????? ??? ??????;Moulay Ali Cherif;10.2;moulayalicherif
??? ?????;Sebt Gzoula;10.1;sebtgzoula
???????;Chouafaa;10.1;chouafaa
??? ?????;Bni Yagrine;10.1;bniyagrine
??????;Znada;10.1;znada
??? ?????;Mers El Kheir;10.1;merselkheir
?????;Mehdya;10.1;mehdya
?????;Anergui;10.1;anergui
?????;Temsia;10.1;temsia
???? ??? ???? ????;Sidi Abdellah Ghiat;10.1;sidiabdellahghiat
???? ??????;Sidi Boulkhalf;10.1;sidiboulkhalf
?????;Abteh;10.0;abteh
????? ?????;Oulad Tayeb;10.0;ouledtayeb
????????;Fritissa;10.0;fritissa
???? ????;Sidi Chiker;10.0;sidichiker
??????;Al Mahbass;10.0;elmahbass
????????;Oukaimden;10.0;oukaimden
??????;Zagora;10.0;zagora
????????;Sfafaa;9.9;sfafaa
???????;Zaitoune;9.9;zaitoune
???? ???;Dayat-Aoua;9.9;dayataoua
??? ????????;Dar Laaslouji;9.8;darlaaslouji
????????;Lahraouyine;9.8;lahraouyine
?????;Ketama;9.8;ketama
???????;Tamsaout;9.8;tamsaout
??? ?????;Bni Bchir;9.8;bnibchir
??????;Tahannaout;9.8;tahannaout
??? ????;Ait Aadel;9.8;aitaadel
????????;Hiadna;9.7;hiadna
??? ??????;Ain El Aouda;9.7;ainelaouda
????? ??????;Ksar El Majaz;9.7;ksarelmajaz
????;Zarkt;9.7;zarkt
??????;El Atef;9.7;elatef
??????;Chichaoua;9.7;chichaoua
??? ???????;Sebt Azzinate;9.6;sebtazzinate
???? ???? ??????;Sidi Allal Tazi;9.6;sidiallaltazi
??????? ????????;Soualem Trifiya;9.6;soualemtrifiya
??? ???;Bab Berred;9.6;babberred
????????;Mansoura;9.6;mansoura
??? ????;Bni Rzine;9.6;bnirzine
????;Isly;9.6;isly
?????;Mghogha;9.5;mghogha
?????;Haouzia;9.5;haouzia
??? ????;Tit Mellil;9.5;titmellil
??? ????;Bni Yakhlef;9.5;bniyakhlef
??? ????;Oued Malha;9.5;ouedmalha
??? ?????;Ait Blal;9.5;aitblal
??????;Akhfennir;9.4;akhfennir
?????;Malloussa;9.4;malloussa
????? ?????;Ouled Slama;9.4;ouledslama
??? ??????;Lalla Mimouna;9.4;lallamimouna
??? ????;Bab Taza;9.4;babtaza
??????;Bouchaouene;9.4;bouchaouene
??? ???;Bni Guil;9.4;bniguil
????? ??????;Zaouiat Ahansal;9.4;zaouiatahansal
??????;Laâyoune;9.3;laayoune
??????;Deroua;9.3;deroua
?????;Iounane;9.3;iounane
??????;Maatarka;9.3;maatarka
????????;Kceibya;9.2;kceibya
??????;Talambote;9.2;talambote
?????;Saada;9.2;saada
??????;Et-Taous;9.2;ettaous
????? ???? ??????;Moulay Ahmed Cherif;9.1;moulayahmedcherif
??????????;Al Bahraoyine;9.0;elbahraoyine
??? ?????;Bni Selmane;9.0;bniselmane
??????;Ouaouzgane;9.0;ouaouzgane
??????;Lqliaa;9.0;lqliaa
??????;Inchaden;9.0;inchaden
??????;Bleida;9.0;bleida
?? ?????;Foum El Oued;8.9;foumeloued
???????;Es-Semara;8.9;essemara
????????;Mnasra;8.9;mnasra
??????;Mograne;8.9;mograne
???????;Tassoultante;8.9;tassoultante
??????;Jouamaa;8.8;jouamaa
??? ????;Ain Attig;8.8;ainattig
???? ??????;Sidi Taibi;8.8;siditaibi
?????;Tamorot;8.8;tamorot
????????;Laouamra;8.7;laouamra
???? ????? ?????;Sidi Boubker El Haj;8.7;sidiboubkerelhaj
???? ????????;Ameur Chamalia;8.7;ameurchamalia
????????;Ech-challalate;8.7;echchallalate
??? ????;Bni Smih;8.7;bnismih
??? ?????;Ain Chkef;8.7;ainchkef
??????;Biougra;8.7;biougra
??? ??????;Oued Essafa;8.7;ouedessafa
????? ???????;Moulay Bousselham;8.6;moulaybousselham
?????;Zag;8.6;zag
???? ???? ????;Sidi Mohamed Lahmar;8.5;sidimohamedlahmar
??? ?????;Dar Bouazza;8.5;darbouazza
???????? ????? ??????;Almajjatia Oulad Taleb;8.5;almajjatiaouledtaleb
?? ???????;Had Soualem;8.4;hadsoualem
???????;Bouskoura;8.4;bouskoura
?????? ????;Nzalat Laadam;8.4;nzalatlaadam
????? ??? ????;My Abdellah;8.3;myabdellah
???? ???? ???????;Sidi Mohamed Benmansour;8.3;sidimohamedbenmansour
????? ????;Oulad Azzouz;8.3;ouledazzouz
??? ????;Ait Abbas;8.3;aitabbas
???? ????;Sidi Bibi;8.2;sidibibi
????????;Drargua;8.2;drargua
???? ???? ???????;Ouahat Sidi Brahim;8.2;ouahatsidibrahim
??????;Tarfaya;8.1;tarfaya
??? ?????;Bni Makada;8.1;bnimakada
???????;Ben Mansour;8.1;benmansour
???? ???? ??? ????;Sidi Hajjaj Oued Hassar;8.1;sidihajjajouedhassar
???? ???? ????;Sidi Yahya Zaer;8.1;sidiyahyazaer
??? ????;Bni Salah;8.1;bnisalah
???? ???????;Ameur Seflia;8.0;ameurseflia
?????;Issaguen;8.0;issaguen
????? ????? ????;Bahhara Ouled Ayad;7.9;bahharaouledayad
??? ?????;Bni Mansour;7.9;bnimansour
????????;Jdiriya;7.9;jdiriya
???????;Haddada;7.7;haddada
?????;Harbil;7.7;harbil
????;Ameur;7.4;ameur
??? ????;Abbou Lakhal;7.4;abboulakhal
???????;Laaouama;7.3;laaouama
??? ?????;Hjar Ennhal;7.1;hjarennhal
??????;Boujdour;6.9;boujdour
??? ?????;Ait Amira;6.4;aitamira
???????;Labouirat;6.4;labouirat
???????;Gueznaia;5.7;gueznaia
??????;El Ouatia;5.4;elouatia
???????;Dakhla;5.1;dakhla
????;Tichla;4.3;tichla
??? ?????;Bir Gandouz;3.7;birgandouz
??? ??????;Bir Anzarane;3.5;biranzarane
??????;El Marsa;3.4;elmarsa
??????;Imlili;3.4;imlili
???????;El Argoub;2.5;elargoub
?? ?????;Oum Dreyga;0.0;oumdreyga
???????;Aghouinite;;aghouinite
?????;Mijik;;mijik
????;Sebta;;sebta
??????;Melilia;;melilia
?????;Zoug;;zoug
???????;Lagouira;;lagouira
