commune_norm	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite	indice_transport	indice_densite_routiere	Indice_POI	Indice_accessibilite_norm	indice_transport_norm	indice_densite_routiere_norm	Indice_POI_norm
mograne	33.4	8.9	0.7269		0.5615	2.51	0.48	4.72	0.04	0.055491699351826636	0.012630249447426594	0.07269889781188049	0.0018033045555981388
mogress	32.7	12.9	0.536		0.4028	2.28	0.24	4.37	0.11	0.05004088113661411	0.006315124723713297	0.06700913613161256	0.0049590875278948815
mohammadia	20.9	18.5	0.982		0.8339						0.0		0.0
mohammedia						31.98	32.93	40.04	10.39	0.7539074071879706	0.8664877381328286	0.6468771336606326	0.4684083583166166
mohaouhammouzayani	25.2	14.8	0.7183		0.628	1.89	0.0	3.62	0.4	0.04079818938038418	0.0	0.054816789673895576	0.01803304555598139
moqrissat	24.3	16.5	0.7218		0.6637						0.0		0.0
moqrisset						0.6	0.0	1.12	0.22	0.010226208955931322	0.0	0.014175634814838954	0.009918175055789763
moualineeloued	26.3	16.9	0.8409		0.5247	4.53	0.0	9.04	0.07	0.10336410280717144	0.0	0.14292681340833036	0.0031557829722967433
mouarid	30.9	16.5	0.6267		0.4082	1.91	0.0	3.82	0.0	0.041272173573011356	0.0	0.058068082062620104	0.0
moulayabdallah						12.1	18.75	12.25	1.73	0.28276711971655755	0.49336911904010133	0.19511005624735908	0.07799292202961951
moulayabdelkader	27.8	13.7	0.7026		0.4795	2.38	0.0	4.75	0.0	0.05241080209975	0.0	0.07318659167018918	0.0
moulayabdelkrim	26.0	17.4	0.5635		0.3884	1.34	0.0	2.68	0.0	0.02776362408313684	0.0	0.03953571544689029	0.0
moulayahmedcherif	31.7	9.1	0.6622		0.4239	3.74	0.0	7.49	0.0	0.08464172719839798	0.0	0.11772929739571523	0.0
moulayaissabendriss	29.0	15.0	0.8282		0.6239	6.99	0.0	13.92	0.15	0.1616641585003141	0.0	0.2222583476932089	0.0067623920834930205
moulayalicherif	31.1	10.2	0.9888	1.0	0.7837	24.88	0.96	48.69	1.21	0.585643018805323	0.025260498894853187	0.7874955294729685	0.054549962806843696
moulaybouazza	23.6	17.7	0.6926		0.5504	2.09	0.0	4.15	0.07	0.045538031306655936	0.0	0.06343271450401558	0.0031557829722967433
moulaybouchta	26.8	18.2	0.5076		0.4845	1.36	0.0	2.73	0.0	0.028237608275764017	0.0	0.040348538544071416	0.0
moulaybousselham	32.5	8.6	0.7494	1.0	0.4483	4.97	0.24	8.99	2.02	0.1137917550449693	0.006315124723713297	0.14211399031114924	0.09106688005770601
moulaybouzarqtoune	26.5	17.0	0.7549		0.4787	3.72	0.24	7.22	0.18	0.0841677430057708	0.006315124723713297	0.11334005267093712	0.008114870500191624
moulaybrahim	28.4	15.6	0.7317		0.6134	2.75	3.37	3.28	0.48	0.061179509663352755	0.08867487632880755	0.04928959261306387	0.021639654667177665
