ï»¿libelle_arabe,commune,densite,densite_norm,commune_norm
??????? ????????,Soualem Trifiya,45264.0,0.0797637283122368,soualemtrifiya
?????,Bouarg,44625.0,0.0786373659690505,bouarg
?????,Tinghir,44156.0,0.0778106618392316,tinghir
?????? ????? ?????,Sahel Oulad H'riz,43774.0,0.0771373122068417,sahelouledhriz
???? ??? ???? ????,Sidi Abdellah Ghiat,43162.0,0.0760585426387197,sidiabdellahghiat
???? ??? ???????,Sidi Bouknadel,42705.0,0.0752529908533737,sidibouknadel
??????,Inchaden,42667.0,0.0751860084292092,inchaden
?????,Azemmour,42092.0,0.0741724585898789,azemmour
??????,Zagora,41656.0,0.0734039234073606,zagora
????????,Mnasra,41433.0,0.0730108423392377,mnasra
??? ??????,Had Boumoussa,41152.0,0.0725155249394954,hadboumoussa
?????,Jerada,40882.0,0.0720395971888534,jerada
??????,El Hajeb,40735.0,0.0717804809690594,elhajeb
??????-???? ????,El Aioun Sidi Mellouk,40648.0,0.0716271264716303,elaiounsidimellouk
???????,Tameslohte,40206.0,0.0708480151168755,tameslohte
????? ????? ???,Houara Oulad Raho,39687.0,0.0699331762184191,houaraouledraho
???? ???? ?????,Sidi Yahia El Gharb,39201.0,0.0690765062672634,sidiyahiaelgharb
??????,Taounate,39071.0,0.0688473558688061,taounate
????? ????? ????,Bahhara Ouled Ayad,38577.0,0.0679765843546684,bahharaouledayad
????????,Laattaouia,38402.0,0.0676681126644374,laattaouia
????????,Loudaya,38246.0,0.0673931321862887,loudaya
??????,Chichaoua,38206.0,0.0673226243713787,chichaoua
???? ??? ?? ?????,Sidi Ali Ben Hamdouche,38115.0,0.0671622190924586,sidialibenhamdouche
?????,Chtouka,38024.0,0.0670018138135385,chtouka
???? ???????,Ameur Seflia,37935.0,0.0668449339253639,ameurseflia
???????,Al Ouidane,37448.0,0.0659865012788355,elouidane
??????,Bradia,37006.0,0.0652073899240807,bradia
????,Zaio,36759.0,0.0647720041670118,zaio
????,Zoumi,36573.0,0.0644441428276806,zoumi
??????,Aguelmous,36555.0,0.0644124143109712,aguelmous
?????,BelfaÃ¢,36506.0,0.0643260422377065,belfaa
??????,Mograne,36452.0,0.0642308566875781,mograne
???? ???? ???????,Ouahat Sidi Brahim,36448.0,0.0642238059060871,ouahatsidibrahim
???????,Aghouatim,36090.0,0.0635927609626432,aghouatim
??? ????????,Dar Laaslouji,36072.0,0.0635610324459337,darlaaslouji
????? ?????,Ouled Hcine,36015.0,0.063460558809687,ouledhcine
?????,Haouzia,35775.0,0.0630375119202274,haouzia
??? ??????,Lalla Mimouna,35487.0,0.0625298556528759,lallamimouna
??????,Arbaoua,35072.0,0.0617983370731853,arbaoua
????????,Laghnadra,34610.0,0.0609839718109756,laghnadra
??????,Imzouren,34497.0,0.060784787233855,imzouren
???? ???? ??????,Sidi Rahal Chatai,34428.0,0.0606631612531353,sidirahalchatai
???????,Nouaceur,34271.0,0.0603864180796138,nouaceur
???? ??????,Sidi Al Kamel,34016.0,0.059936930759563,sidielkamel
?????,Assilah,33975.0,0.0598646602492803,assilah
?????,Demnate,33628.0,0.0592530049549366,demnate
?? ????,Ben Ahmed,33332.0,0.0587312471246031,benahmed
????? ?????,Ouled H'cine,33223.0,0.0585391133289736,ouledhcine
??? ?????,Ait Faska,33069.0,0.0582676582415703,aitfaska
??? ???????,Ain Taoujdate,33048.0,0.0582306416387426,aintaoujdate
????????,Kceibya,33007.0,0.0581583711284599,kceibya
???? ???????,Sidi Smail,32691.0,0.0576013593906714,sidismail
????? ???????,Moulay Bousselham,32629.0,0.057492072277561,moulaybousselham
???? ???????,Mechraa Bel Ksiri,32615.0,0.0574673945423425,mechraabelksiri
????????,Souihla,32500.0,0.0572646845744765,souihla
??? ???????,Dar Bel Amri,32493.0,0.0572523457068672,darbelamri
?????,Laqsir,32375.0,0.0570443476528829,laqsir
??? ??????,Jorf El Melha,31945.0,0.0562863886426011,jorfelmelha
????? ?????,Oulad Rahmoune,31420.0,0.0553609735719082,ouledrahmoune
???????,Zeghanghane,31346.0,0.0552305341143248,zeghanghane
????,Ayir,30867.0,0.0543862030307784,ayir
????? ?????,Oulad Berhil,30274.0,0.0533409246747386,ouledberhil
???? ???? ???????,Sidi Moussa El Majdoub,30254.0,0.0533056707672836,sidimoussaelmajdoub
???? ??????,Lbir Jdid,30245.0,0.0532898065089289,lbirjdid
???? ??????-???????,Sidi Slimane Echcharaa,30130.0,0.0530870965410628,sidislimaneechcharaa
??? ??? ?????,Dar Ould Zidouh,30113.0,0.0530571307197261,darouldzidouh
???????,M'haya,30056.0,0.0529566570834794,mhaya
????? ????,Ouled Zmam,30038.0,0.05292492856677,ouledzmam
??? ????,Bab Taza,29895.0,0.052672863128467,babtaza
?????,Hrara,29730.0,0.0523820183919635,hrara
????????,Fritissa,29594.0,0.0521422918212697,fritissa
????? ???????,Zemrane Charqia,29559.0,0.0520805974832235,zemranecharqia
??????,Mediouna,29552.0,0.0520682586156143,mediouna
?????????,El Mansouria,29125.0,0.0513155876914507,elmansouria
?????,Arfoud,28876.0,0.0508766765436364,arfoud
??? ????,Sabaa Aiyoun,28735.0,0.0506281364960788,sabaaaiyoun
??? ????,Beni Malek,28711.0,0.0505858318071329,benimalek
?????,Ghmate,28646.0,0.0504712566079042,ghmate
???? ???? ????????,Sidi Allal El Bahraoui,28643.0,0.050465968521786,sidiallalelbahraoui
??????,Krifate,28596.0,0.0503831218392668,krifate
?????,Tahla,28590.0,0.0503725456670303,tahla
?????,Er-Rich,28452.0,0.050129293705591,errich
?????,Selouane,28435.0,0.0500993278842543,selouane
