commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang	commune_norm
Saiss	0.97	2.8	1.4	0.9770605494798612	0.9703196347031964	0.9886685552407932	0.9774	Bon	71	saiss
Boujdour	1.01	2.9	1.1	0.9749266471058948	0.9680365296803652	0.9971671388101984	0.9773	Bon	72	boujdour
Ben Guerir	0.94	2.7	1.7	0.978660976260336	0.9726027397260274	0.980169971671388	0.9771	Bon	73	benguerir
Layayda	0.93	2.6	1.9	0.9791944518538276	0.9748858447488584	0.9745042492917848	0.977	Bon	74	layayda
Settat	0.97	2.8	1.5	0.9770605494798612	0.9703196347031964	0.9858356940509916	0.9768	Bon	75	settat
Tan-Tan	0.98	2.9	1.4	0.9765270738863696	0.9680365296803652	0.9886685552407932	0.9764	Bon	76	tantan
Chefchaouen	0.89	2.5	2.3	0.981328354227794	0.9771689497716894	0.963172804532578	0.9764	Bon	76	chefchaouen
Foum El Oued	0.73	2.2	3.5	0.9898639637236596	0.9840182648401826	0.9291784702549576	0.976	Bon	78	foumeloued
Bouznika	0.85	2.5	2.6	0.9834622566017605	0.9771689497716894	0.9546742209631728	0.9758	Bon	79	bouznika
Lbir Jdid	0.86	2.4	2.7	0.9829287810082687	0.9794520547945206	0.9518413597733713	0.9757	Bon	80	lbirjdid
Taroudannt	0.99	2.8	1.6	0.975993598292878	0.9703196347031964	0.9830028328611898	0.9757	Bon	80	taroudannt
Gueznaia	0.92	2.6	2.2	0.9797279274473192	0.9748858447488584	0.9660056657223796	0.9755	Bon	82	gueznaia
El Menzeh	0.88	2.3	2.8	0.9818618298212856	0.9817351598173516	0.9490084985835694	0.9753	Bon	83	elmenzeh
Sidi Allal El Bahraoui	0.97	2.8	1.8	0.9770605494798612	0.9703196347031964	0.9773371104815864	0.9751	Bon	84	sidiallalelbahraoui
El Marsa	1.0	2.8	1.7	0.9754601226993864	0.9703196347031964	0.980169971671388	0.9749	Bon	85	elmarsa
Mediouna	1.0	2.8	1.7	0.9754601226993864	0.9703196347031964	0.980169971671388	0.9749	Bon	85	mediouna
Azilal	0.84	2.3	3.1	0.983995732195252	0.9817351598173516	0.9405099150141644	0.9746	Bon	87	azilal
Safi	0.93	2.6	2.4	0.9791944518538276	0.9748858447488584	0.9603399433427762	0.9741	Bon	88	safi
Sidi Bou Othmane	0.72	2.1	4.0	0.9903974393171512	0.9863013698630136	0.9150141643059492	0.9741	Bon	88	sidibouothmane
Toulal	1.05	3.0	1.4	0.9727927447319286	0.9657534246575342	0.9886685552407932	0.9739	Bon	90	toulal
Ain Harrouda	0.85	2.4	3.1	0.9834622566017605	0.9794520547945206	0.9405099150141644	0.9737	Bon	91	ainharrouda
Nouaceur	0.95	2.7	2.3	0.9781275006668444	0.9726027397260274	0.963172804532578	0.9735	Bon	92	nouaceur
Mghogha	1.03	2.9	1.7	0.9738596959189116	0.9680365296803652	0.980169971671388	0.9734	Bon	93	mghogha
Béni Mellal	1.01	2.9	1.8	0.9749266471058948	0.9680365296803652	0.9773371104815864	0.9733	Bon	94	benimellal
Inezgane	1.07	3.1	1.3	0.9717257935449454	0.9634703196347032	0.9915014164305948	0.9732	Bon	95	inezgane
Ouahat Sidi Brahim	0.91	2.5	2.8	0.9802614030408108	0.9771689497716894	0.9490084985835694	0.9731	Bon	96	ouahatsidibrahim
Meknès	0.98	2.8	2.1	0.9765270738863696	0.9703196347031964	0.9688385269121812	0.9731	Bon	96	meknes
Oujda	1.01	2.9	1.9	0.9749266471058948	0.9680365296803652	0.9745042492917848	0.9728	Bon	98	oujda
Sidi Belyout	0.74	2.0	4.3	0.989330488130168	0.9885844748858448	0.906515580736544	0.9725	Bon	99	sidibelyout
Bni Yakhlef	0.88	2.4	3.2	0.9818618298212856	0.9794520547945206	0.9376770538243626	0.9723	Bon	100	bniyakhlef
Aourir	0.93	2.7	2.6	0.9791944518538276	0.9726027397260274	0.9546742209631728	0.9723	Bon	100	aourir
Azrou	1.05	3.0	1.7	0.9727927447319286	0.9657534246575342	0.980169971671388	0.9722	Bon	102	azrou
El Mansouria	0.96	2.8	2.4	0.9775940250733528	0.9703196347031964	0.9603399433427762	0.972	Bon	103	elmansouria
Sidi Youssef Ben Ali	0.98	2.8	2.3	0.9765270738863696	0.9703196347031964	0.963172804532578	0.972	Bon	103	sidiyoussefbenali
Al Machouar-Stinia	1.0	2.8	2.2	0.9754601226993864	0.9703196347031964	0.9660056657223796	0.972	Bon	103	elmachouarstinia
