Libelle Arabe	commune	taux_jeunesse	commune_norm
????? ??????	Oulad Zbair	29.2	ouledzbair
???? ?????	Imi-N'tlit	29.2	imintlit
????	Majjat	29.2	majjat
?????	Tigouga	29.2	tigouga
????????	Bouizakarne	29.2	bouizakarne
?????	Tidili	29.2	tidili
???????	Taznakht	29.2	taznakht
??????	Idelsane	29.2	idelsane
??????	Mezguita	29.2	mezguita
???	Akka	29.2	akka
?? ???????	Oum El Guerdane	29.2	oumelguerdane
???? ????	Sidi Aissa	29.1	sidiaissa
???? ??? ?? ?????	Sidi Ali Ben Hamdouche	29.1	sidialibenhamdouche
????? ???? ??? ?? ????	Oulad Sidi Ali Ben Youssef	29.1	ouledsidialibenyoussef
??? ????	Bni Oukil	29.1	bnioukil
????	Tisqi	29.1	tisqi
??????	Boukhrisse	29.1	boukhrisse
???????	Mazguitam	29.1	mazguitam
????? ???????	Ghiata Al Gharbia	29.1	ghiataelgharbia
????? ??????	Almis Marmoucha	29.1	almismarmoucha
???? ???????	Sidi El Jazouli	29.1	sidieljazouli
????????	Imintanoute	29.1	imintanoute
?????	Aghbar	29.1	aghbar
????????	Loudaya	29.1	loudaya
?????	Ghmate	29.1	ghmate
????	Asni	29.1	asni
??????	Tamallalt	29.1	tamallalt
????? ??? ?????	Skoura Ahl El Oust	29.1	skouraahleloust
???? ???? ??????	Sidi Ahmed Benaissa	29.0	sidiahmedbenaissa
???????	Nouaceur	29.0	nouaceur
?????	Mellila	29.0	mellila
??? ???????	Oued Naanaa	29.0	ouednaanaa
????? ?????	Ouled M'hamed	29.0	ouledmhamed
????? ???? ?? ?????	Moulay Aissa Ben Driss	29.0	moulayaissabendriss
?????	Anjra	29.0	anjra
????	Azla	29.0	azla
??? ??????	Jorf El Melha	29.0	jorfelmelha
??? ???????	Oued Jdida	29.0	ouedjdida
??? ????	Ain Legdah	29.0	ainlegdah
?????	Amouguer	29.0	amouguer
?????	Missour	29.0	missour
????????	Korimate	29.0	korimate
???? ?????	Sidi Dahmane	29.0	sididahmane
?????	Agafay	29.0	agafay
?????	Anougal	29.0	anougal
?????? ????	Boumalne-Dades	29.0	boumalnedades
????????	Lahraouyine	28.9	lahraouyine
????? ????	Ouled Salah	28.9	ouledsalah
?????	Jaqma	28.9	jaqma
????? ???? ?????	Ouled Said Loued	28.9	ouledsaidloued
??? ????	Ain Lahsan	28.9	ainlahsan
??? ???? ???????	Bni Ahmed Cherqia	28.9	bniahmedcherqia
??? ?????? ???????	Abdelghaya Souahel	28.9	abdelghayasouahel
???????	Bouchfaa	28.9	bouchfaa
?????	Agoudim	28.9	agoudim
????? ????? ???	Houara Oulad Raho	28.9	houaraouledraho
???? ?????	Sidi Boutayeb	28.9	sidiboutayeb
???????	Lagdadra	28.9	lagdadra
??? ?????	Imi-N'fast	28.9	iminfast
?????	Tanant	28.9	tanant
??????? ???????	M'hamid El Ghizlane	28.9	mhamidelghizlane
????	Chahda	28.8	chahda
??????	Bouguedra	28.8	bouguedra
????? ???	Ouled Frej	28.8	ouledfrej
????? ?? ?????	Oulad Si Bouhya	28.8	ouledsibouhya
??? ????	Bni Hassane	28.8	bnihassane
???????	Targuist	28.8	targuist
???? ??????	Sidi Boutmim	28.8	sidiboutmim
?????	Rhafsai	28.8	rhafsai
??????	Mezraoua	28.8	mezraoua
?????	Laqsir	28.8	laqsir
???????	Bouyablane	28.8	bouyablane
?????	Taddart	28.8	taddart
????? ????	Oulad Settout	28.8	ouledsettout
??? ?????	Ain Lehjer	28.8	ainlehjer
?????	Nfifa	28.8	nfifa
?????	Belfaâ	28.8	belfaa
??????	Tinejdad	28.8	tinejdad
???? ??????	Lbir Jdid	28.7	lbirjdid
??? ????	Ben Guerir	28.7	benguerir
????? ????	Ouled Zmam	28.7	ouledzmam
????? ???????	Ouled Bourahmoune	28.7	ouledbourahmoune
????? ??????	Ksar El Majaz	28.7	ksarelmajaz
?????	Tabouda	28.7	tabouda
???????	Tifarouine	28.7	tifarouine
??? ???????	Ain Bida	28.7	ainbida
???? ???? ?? ????	Sidi Youssef Ben Ahmed	28.7	sidiyoussefbenahmed
?????	Zaida	28.7	zaida
?????	Tamanar	28.7	tamanar
????? ?????	Oulad Berhil	28.7	ouledberhil
?????	Gmassa	28.7	gmassa
????? ?????	Saniat Berguig	28.6	saniatberguig
?????	Lmechrek	28.6	lmechrek
??????	Al Kharroub	28.6	elkharroub
??? ?????	Dar Bouazza	28.6	darbouazza
??? ????	Bni Hilal	28.6	bnihilal
???? ???????	Sidi El Aidi	28.6	sidielaidi
???? ????	Sidi Bettache	28.6	sidibettache
???? ???? ?????	Sidi Yahia El Gharb	28.6	sidiyahiaelgharb
???????	Fnideq	28.6	fnideq
???????	Zaitoune	28.6	zaitoune
??????	Taghzout	28.6	taghzout
?????	Zouagha	28.6	zouagha
?????	Iqaddar	28.6	iqaddar
??? ?????	Ait Erkha	28.6	aiterkha
???????	Jouala	28.6	jouala
??????	Laâyoune	28.5	laayoune
???????	Lamaachate	28.5	lamaachate
???????	Bouskoura	28.5	bouskoura
???? ????	Sidi Ghanem	28.5	sidighanem
????? ???? ??????	Oulad Aamer Tizmarine	28.5	ouledaamertizmarine
????	Sabbah	28.5	sabbah
??? ??? ??????	Ait Ali Ou Lahcen	28.5	aitalioulahcen
???? ??????	M'qam Tolba	28.5	mqamtolba
??????	Tanougha	28.5	tanougha
??? ??????	Souk Kdim	28.5	soukkdim
??? ??? ????	Dar Bni Karrich	28.5	darbnikarrich
??????	Taounate	28.5	taounate
???? ?????	Jnan El Ouard	28.5	jnanelouard
????	Bitit	28.5	bitit
???? ???????	Sidi Bou Othmane	28.5	sidibouothmane
?????	Iguidi	28.5	iguidi
??? ???? ????	Ait Sidi Daoud	28.5	aitsididaoud
??? ?????	Ait Ourir	28.5	aitourir
???????	Zagmouzen	28.5	zagmouzen
?????	Tinghir	28.5	tinghir
???????	Dakhla	28.4	dakhla
??????	Zmamra	28.4	zmamra
??????	Sahel	28.4	sahel
?????	Tamda	28.4	tamda
?????? ????? ????	Foqra Oulad Aameur	28.4	foqraouledaameur
??????	Meskoura	28.4	meskoura
????? ????? ???????	Oulad Bouali Nouaja	28.4	ouledboualinouaja
????? ??????	Oulad Boughadi	28.4	ouledboughadi
??? ???	Bni Leit	28.4	bnileit
?????	Al Oued	28.4	eloued
??????	Bouadel	28.4	bouadel
??? ??????	Ain Mediouna	28.4	ainmediouna
???????	Traiba	28.4	traiba
??? ?????	Ouad Amlil	28.4	ouadamlil
??????	Aghbalou	28.4	aghbalou
??? ????	Ait Ayach	28.4	aitayach
???? ?????	Assif El Mal	28.4	assifelmal
??? ????	Ait Igas	28.4	aitigas
??? ??????	Sid Zouine	28.4	sidzouine
????? ???????	Moulay Brahim	28.4	moulaybrahim
????	Tlite	28.4	tlite
????	Tifni	28.4	tifni
?????	Aoufous	28.4	aoufous
?????	Tah	28.3	tah
?????	Ahlaf	28.3	ahlaf
???? ????????	Skhour Rhamna	28.3	skhourrhamna
??? ??????	Ain Sbit	28.3	ainsbit
??????	Bradia	28.3	bradia
?????	Allyene	28.3	allyene
??? ????	Bni Snous	28.3	bnisnous
??? ??? ????	Ait Harz Allah	28.3	aitharzallah
??? ?????	Ras Laksar	28.3	raslaksar
????? ?????	Outat El Haj	28.3	outatelhaj
???????	Mestferki	28.3	mestferki
???	Mejji	28.3	mejji
??? ?????	Ait Imour	28.3	aitimour
???????	Taouyalte	28.3	taouyalte
????? ???????	Zemrane Charqia	28.3	zemranecharqia
?????	Khouzama	28.3	khouzama
????	Tata	28.3	tata
????????	Echemmaia	28.2	echemmaia
???????	El Gantour	28.2	elgantour
??? ?????	Bni Makada	28.2	bnimakada
??????	Shoul	28.2	shoul
????? ????	Oulad Azzouz	28.2	ouledazzouz
????	Afsou	28.2	afsou
??? ????????	Ait Boubidmane	28.2	aitboubidmane
??????	Aghbala	28.2	aghbala
?????	Er-Rich	28.2	errich
?????	Tafedna	28.2	tafedna
?????	Eddir	28.2	eddir
???? ???????	Ahmar Laglalcha	28.2	ahmarlaglalcha
????????	Jbilate	28.2	jbilate
???????	Ouarzazate	28.2	ouarzazate
??????	Toundoute	28.2	toundoute
???????	Es-Semara	28.1	essemara
???????	Laagagcha	28.1	laagagcha
???? ???????	Oued El Makhazine	28.1	ouedelmakhazine
??? ??????	Bir Taleb	28.1	birtaleb
??????	Mediouna	28.1	mediouna
????? ???? ?????	Oulad Fares El Halla	28.1	ouledfareselhalla
????????	Maadna	28.1	maadna
??????	Talambote	28.1	talambote
??? ?????	Bni Faghloum	28.1	bnifaghloum
?????	M'tioua	28.1	mtioua
???????	Zrizer	28.1	zrizer
????? ??? ?????	Fennassa Bab El Hit	28.1	fennassababelhit
??????	Msila	28.1	msila
???????	Driouch	28.1	driouch
??? ???????	Ait Bourzouine	28.1	aitbourzouine
???? ???????	Sidi Boulenouar	28.1	sidiboulenouar
?????	Temsia	28.1	temsia
??????	Inchaden	28.1	inchaden
?????	Zerkten	28.1	zerkten
?????	Aoulouz	28.1	aoulouz
????? ??????	Zaouiat Lakouacem	28.0	zaouiatlakouacem
????? ??????	Oulad Sghir	28.0	ouledsghir
??? ??????	Ain El Aouda	28.0	ainelaouda
????????	Tamchachate	28.0	tamchachate
????????	M'fassis	28.0	mfassis
???????	Lamjaara	28.0	lamjaara
??????	Izemmouren	28.0	izemmouren
???? ????? ????????	Sidi Bouzid Arragragui	28.0	sidibouzidarragragui
??? ?????	Ouad L'bour	28.0	ouadlbour
??????	Lqliaa	28.0	lqliaa
???? ??????	Sidi Boumoussa	28.0	sidiboumoussa
????? ??????	Gheris El Ouloui	28.0	gheriselouloui
????? ?????	Ouled Salmane	27.9	ouledsalmane
?? ?????	Khatazakane	27.9	khatazakane
???? ?????	Sidi El Mekki	27.9	sidielmekki
??????	Chaibate	27.9	chaibate
????? ??????	Oulad Boussaken	27.9	ouledboussaken
??? ?????	Bir Ennasr	27.9	birennasr
???? ???? ??? ?????	Sidi Yahia Bni Zeroual	27.9	sidiyahiabnizeroual
??? ????	Ait Kamra	27.9	aitkamra
???????	El Gouzate	27.9	elgouzate
??? ????	Bni Ftah	27.9	bniftah
???????	Mtalssa	27.9	mtalssa
????	Zegzel	27.9	zegzel
??????	Biougra	27.9	biougra
?????	Amtdi	27.9	amtdi
???	Assa	27.9	assa
???????	Tamazouzte	27.9	tamazouzte
???????	Amerzgane	27.9	amerzgane
??????	Taliouine	27.9	taliouine
????? ??? ??????	Moulay Abdelkader	27.8	moulayabdelkader
??????	Laaounate	27.8	laaounate
????	M'tal	27.8	mtal
???? ??? ???????	Sidi Bouknadel	27.8	sidibouknadel
???? ??? ??????	Jemaat Moul Blad	27.8	jemaatmoulblad
??? ????-??? ??????	Ain Karma-Oued Rommane	27.8	ainkarmaouedrommane
????? ??????	Ouled M'barek	27.8	ouledmbarek
??????	Azilal	27.8	azilal
??? ???????	Melg El Ouidane	27.8	melgelouidane
??????	Timahdite	27.8	timahdite
??????	Galdamane	27.8	galdamane
??? ????	Bni Drar	27.8	bnidrar
????????	Errachidia	27.8	errachidia
???????	Boujedyane	27.7	boujedyane
????	Charrate	27.7	charrate
???????	Boulaouane	27.7	boulaouane
??? ?????	Mers El Kheir	27.7	merselkheir
????	Bourd	27.7	bourd
????	Guigou	27.7	guigou
?????	Enjil	27.7	enjil
?????	Smimou	27.7	smimou
??????	Bounrar	27.7	bounrar
????? ?????	Aouint Yghomane	27.7	aouintyghomane
????? ????	Oulad Hassoune	27.7	ouledhassoune
??????	Amghras	27.7	amghras
???? ??????	Sidi Ouaaziz	27.7	sidiouaaziz
???? ???? ??????	Sidi Rahal Chatai	27.6	sidirahalchatai
??? ?????	Ain Harrouda	27.6	ainharrouda
????? ??? ???????	Oulad Ali Toualaa	27.6	ouledalitoualaa
????????	Layayda	27.6	layayda
?????	Khalfia	27.6	khalfia
???????	Rouached	27.6	rouached
??? ??	Oued Laou	27.6	ouedlaou
??? ???	Bab Berred	27.6	babberred
???? ?? ????	Karia Ba Mohamed	27.6	kariabamohamed
?????	Ketama	27.6	ketama
??????	Ratba	27.6	ratba
??? ??????	Bni Bounsar	27.6	bnibounsar
?????	Bouhlou	27.6	bouhlou
???? ???? ?? ???	Sidi Ahmed Ou Amar	27.6	sidiahmedouamar
??????	Lamhara	27.6	lamhara
??????	Tan-Tan	27.6	tantan
??????	Ouzioua	27.6	ouzioua
??? ????	Ain Attig	27.5	ainattig
???????	Laghoualem	27.5	laghoualem
??????	Krifate	27.5	krifate
????? ????	Ouled Gnaou	27.5	ouledgnaou
??????	M'diq	27.5	mdiq
??? ???????	Ain Dfali	27.5	aindfali
???????	Tafrant	27.5	tafrant
??????	Imzouren	27.5	imzouren
???? ?????	Hassi-Berkane	27.5	hassiberkane
????? ??? ????	N'zalat Bni Amar	27.5	nzalatbniamar
????? ??? ????	Oulad Ali Youssef	27.5	ouledaliyoussef
??? ??????	Ain Chair	27.5	ainchair
??????	Talmest	27.5	talmest
????????	Timezgadiouine	27.5	timezgadiouine
??????	Tilemzoun	27.5	tilemzoun
????? ??????	Ferkla Es-Soufla	27.5	ferklaessoufla
???????	Al Manzla	27.4	elmanzla
????? ???? ????	Oulad Yahya Louta	27.4	ouledyahyalouta
??? ????? ???????	Ras El Ain Chaouia	27.4	raselainchaouia
???? ????????	Kelâat Sraghna	27.4	kelaatsraghna
????? ?????	Ouled Yaich	27.4	ouledyaich
??? ???????	Dir El Ksiba	27.4	direlksiba
?????	Tamedit	27.4	tamedit
??????	Tainaste	27.4	tainaste
??? ??????	Ain Zohra	27.4	ainzohra
??? ??????	Bab Marzouka	27.4	babmarzouka
?????	Guercif	27.4	guercif
??? ?????	Ahl Angad	27.4	ahlangad
??????	Aquermoud	27.4	aquermoud
???????	Targante	27.4	targante
???? ?????	Ida Ou Guelloul	27.4	idaouguelloul
????? ???? ??????	Zaouia Sidi Tahar	27.4	zaouiasiditahar
????? ????	Oulad Aissa	27.4	ouledaissa
??? ??????	Ida Ou Gailal	27.4	idaougailal
?????	Tagante	27.4	tagante
?????	Azgour	27.4	azgour
?????	Tazart	27.4	tazart
?????	Abadou	27.4	abadou
?????	Imlil	27.4	imlil
????	Lahdar	27.3	lahdar
????	Tatoft	27.3	tatoft
?????	Metrane	27.3	metrane
???????	Chougrane	27.3	chougrane
??? ???????	Bin El Ouidane	27.3	binelouidane
?????? ???????	Meknassa Acharqia	27.3	meknassaacharqia
???????	Laaouinate	27.3	laaouinate
???? ?????	Sidi Borja	27.3	sidiborja
??????	Al Mahbass	27.3	elmahbass
?????	Assaki	27.3	assaki
????? ??????	Toudgha Essoufla	27.3	toudghaessoufla
????????	Tadighoust	27.3	tadighoust
???????	Lgharbia	27.2	lgharbia
????	Mettouh	27.2	mettouh
??????	Lahouaza	27.2	lahouaza
??????	El Borouj	27.2	elborouj
???????	Chbanate	27.2	chbanate
??? ?? ???????	Dar Oum Soltane	27.2	daroumsoltane
?????	Lagfaf	27.2	lagfaf
??? ????	Bni Bataou	27.2	bnibataou
??? ???? ???????	Bni Ounjel Tafraout	27.2	bniounjeltafraout
????	Louta	27.2	louta
???????	Tiztoutine	27.2	tiztoutine
?????? ??????	Aghbalou Aqorar	27.2	aghbalouaqorar
??????	Tazouta	27.2	tazouta
??? ????	Bni Khaled	27.2	bnikhaled
?? ?????	Had Dra	27.2	haddra
???????	Lahsinate	27.2	lahsinate
??????	Takoucht	27.2	takoucht
????	Igli	27.2	igli
???????	Lakhsas	27.2	lakhsas
??? ???????	Lalla Takarkoust	27.2	lallatakarkoust
??????	Imgdal	27.2	imgdal
??? ????	Ait Zineb	27.2	aitzineb
????? ?????	Ouled Zidane	27.1	ouledzidane
?????	Mehdya	27.1	mehdya
??? ????	Bir Mezoui	27.1	birmezoui
?????	Naour	27.1	naour
??? ??????	Bni Bouayach	27.1	bnibouayach
?????	Selouane	27.1	selouane
???????	Boufakrane	27.1	boufakrane
??? ?????	Ait Naamane	27.1	aitnaamane
?????	Boumia	27.1	boumia
??? ????	Ait Bazza	27.1	aitbazza
?????	Tiouli	27.1	tiouli
???? ???? ??????	Sidi Ahmed Essayeh	27.1	sidiahmedessayeh
?????	Adaghas	27.1	adaghas
??????? ???????	Igoudar Mnabha	27.1	igoudarmnabha
??? ????? ????? ??????	Ait Sedrate Jebel Soufla	27.1	aitsedratejebelsoufla
????? ????	Ouled Cebbah	27.0	ouledcebbah
?????	Gdana	27.0	gdana
????? ????	Oulad Said	27.0	ouledsaid
??? ???????-???? ???????	Ain Johra-Sidi Boukhalkhal	27.0	ainjohrasidiboukhalkhal
???? ??? ??????	Sidi Abderrazak	27.0	sidiabderrazak
??? ????? ????? ?????	Souk Sebt Ouled Nemma	27.0	souksebtoulednemma
??????? ????????	Gzenaya Al Janoubia	27.0	gzenayaeljanoubia
????	Takate	27.0	takate
????????	Talgjount	27.0	talgjount
????? ?????	Oulad Teima	27.0	ouledteima
???????	El Guerdane	27.0	elguerdane
??????	Lamhadi	27.0	lamhadi
??????	Tioughza	27.0	tioughza
???? ???? ?? ???	Sidi Moussa Ben Ali	26.9	sidimoussabenali
??????	M'garto	26.9	mgarto
?? ?????? ?? ??? ???????	Si Hsaien Ben Abderrahmane	26.9	sihsaienbenabderrahmane
????? ????	Oulad M'rah	26.9	ouledmrah
????? ????	Ouled Ayad	26.9	ouledayad
???? ?????	Sidi Lamine	26.9	sidilamine
?????????	Mallalienne	26.9	mallalienne
??????	Zghira	26.9	zghira
????	Arazane	26.9	arazane
?????	Guelmim	26.9	guelmim
??????	Zaaroura	26.8	zaaroura
??? ???	Bni Oual	26.8	bnioual
?? ?????	Ben Maachou	26.8	benmaachou
??? ??????	Ain Jemaa	26.8	ainjemaa
????? ?????	Moulay Bouchta	26.8	moulaybouchta
??? ?????	Thar Es-Souk	26.8	tharessouk
??? ???????	Ain Taoujdate	26.8	aintaoujdate
??????	Agourai	26.8	agourai
??????? ????	Immouzzer-Kandar	26.8	immouzzerkandar
???? ?????	Sidi Harazem	26.8	sidiharazem
??????	Tounfite	26.8	tounfite
??????	Bouarfa	26.8	bouarfa
???? ??? ???????	Sidi Ali El Korati	26.8	sidialielkorati
??????	Imgrade	26.8	imgrade
?????? ???????	El Koudia El Beida	26.8	elkoudiaelbeida
?????	Assaisse	26.8	assaisse
?????	Demnate	26.8	demnate
????	Ghassate	26.8	ghassate
?????	Ayacha	26.7	ayacha
??? ????????	Souk El Arbaa	26.7	soukelarbaa
??????	Fdalate	26.7	fdalate
???? ?????	Sidi Hammadi	26.7	sidihammadi
????????	Timoulilt	26.7	timoulilt
???? ?????	Sidi Redouane	26.7	sidiredouane
???????	Taifa	26.7	taifa
??? ????	Sabaa Aiyoun	26.7	sabaaaiyoun
??????	Lebkhata	26.7	lebkhata
???	Issen	26.7	issen
??????	Tazemmourt	26.7	tazemmourt
??????	Zirara	26.6	zirara
??? ??????	Ait Ouikhalfen	26.6	aitouikhalfen
??? ?????	Bni Zrantel	26.6	bnizrantel
???????	Ourtzarh	26.6	ourtzarh
??? ?????	Bni Hadifa	26.6	bnihadifa
?????	Midelt	26.6	midelt
??? ????	Ait Melloul	26.6	aitmelloul
??? ???????	Sebt Ennabour	26.6	sebtennabour
?? ?????	Fam El Hisn	26.6	famelhisn
????? ?????	Oulad Mtaa	26.6	ouledmtaa
?????	El Faid	26.6	elfaid
???????	Larache	26.5	larache
?????????	El Mansouria	26.5	elmansouria
?? ????	Ben Ahmed	26.5	benahmed
???? ??????	Majmaa Tolba	26.5	majmaatolba
??? ????	Ain Kaicher	26.5	ainkaicher
??? ???????	Had Bouhssoussen	26.5	hadbouhssoussen
???? ?????	Sidi Bousber	26.5	sidibousber
?????	Kissane	26.5	kissane
??????	Ouislane	26.5	ouislane
???? ?????? ??? ???????	Sidi Slimane Moul Al Kifane	26.5	sidislimanemoulelkifane
??? ??????	Ait Saghrouchen	26.5	aitsaghrouchen
????	Lehri	26.5	lehri
??? ?????	Ahl Oued Za	26.5	ahlouedza
????? ????????	Moulay Bouzarqtoune	26.5	moulaybouzarqtoune
???? ??? ???? ?? ????	Sidi Abdellah Ou Said	26.5	sidiabdellahousaid
?????	Tamri	26.5	tamri
??? ?????	Mirleft	26.5	mirleft
??????	Ijoukak	26.5	ijoukak
????? ??????	Tidili Mesfioua	26.5	tidilimesfioua
????????	Tizgzaouine	26.5	tizgzaouine
??? ?????	Akka-Ighane	26.5	akkaighane
???? ????	Jamaat Shaim	26.4	jamaatshaim
?????	Mghogha	26.4	mghogha
????????	Skhirate	26.4	skhirate
????????	Ziaida	26.4	ziaida
??? ????	Ait Malek	26.4	aitmalek
?? ??????	Foum Jemaa	26.4	foumjemaa
??????	Afourar	26.4	afourar
?????? ???????	Arbaa Taourirt	26.4	arbaataourirt
??????	Serghina	26.4	serghina
?? ??????	Oum Rabia	26.4	oumrabia
??? ????	Bab Boudir	26.4	babboudir
??? ?????	Ait Iaaza	26.4	aitiaaza
???? ???? ?? ??? ????	Sidi Ahmed Ou Abdallah	26.4	sidiahmedouabdallah
??? ??????	Dar Jamaa	26.4	darjamaa
???????	Touama	26.4	touama
?????	Tinzart	26.4	tinzart
??????	Iznaguen	26.4	iznaguen
??? ????	Bni Harchen	26.3	bniharchen
?????? ?????	Moualine El Oued	26.3	moualineeloued
??????	Mzoura	26.3	mzoura
???	Bzou	26.3	bzou
?????	Marchouch	26.3	marchouch
??? ?????	Ait Siberne	26.3	aitsiberne
??? ?????	Ait Mimoune	26.3	aitmimoune
?????	Jahjouh	26.3	jahjouh
??? ?????	Souk L'qolla	26.3	souklqolla
??? ???? ???????	Bni Ahmed Gharbia	26.3	bniahmedgharbia
??????	Maghraoua	26.3	maghraoua
??? ??? ????	Ain Bni Mathar	26.3	ainbnimathar
??? ?????	Ida Ou Moumen	26.3	idaoumoumen
????????	Lakhnafif	26.3	lakhnafif
??????	Freija	26.3	freija
?????	Aferkat	26.3	aferkat
?????	Tamaguert	26.3	tamaguert
???? ??????	Ighrem N'ougdal	26.3	ighremnougdal
??? ?????	Ibn Yacoub	26.3	ibnyacoub
???? ??????	Sidi Hsaine	26.3	sidihsaine
??? ????	Had Kourt	26.2	hadkourt
?????	Berrechid	26.2	berrechid
???? ????	Sidi Bennour	26.2	sidibennour
????????	Sfassif	26.2	sfassif
???????	El Bibane	26.2	elbibane
???? ????	Tizi Ouasli	26.2	tiziouasli
?? ?????	Ben Taieb	26.2	bentaieb
??? ????	Ait Yaazem	26.2	aityaazem
???? ??????	Sidi El Makhfi	26.2	sidielmakhfi
???? ???? ??????	Sidi Yahya Ou Saad	26.2	sidiyahyaousaad
??????	Tanourdi	26.2	tanourdi
??? ?? ?????	Ait Ben Yacoub	26.2	aitbenyacoub
??????	Talzemt	26.2	talzemt
????	Debdou	26.2	debdou
??????	Ounagha	26.2	ounagha
????	Tidzi	26.2	tidzi
?????	Asrir	26.2	asrir
??????	Annakhil	26.2	annakhil
??????	Ouirgane	26.2	ouirgane
??????	Tassousfi	26.2	tassousfi
??? ??????	Ait Ouribel	26.1	aitouribel
??? ????	Bni Smir	26.1	bnismir
???????	Ouaouizeght	26.1	ouaouizeght
??????	Taghramt	26.1	taghramt
??? ?????	Ain Beida	26.1	ainbeida
???? ?????	Kalaat Bouqorra	26.1	kalaatbouqorra
??????	Brarha	26.1	brarha
?????	Senada	26.1	senada
?????	Azlaf	26.1	azlaf
???????	Iaazzanene	26.1	iaazzanene
??????	Al Aaroui	26.1	elaaroui
???????	Taourirt	26.1	taourirt
?????	Oualili	26.1	oualili
??????	Tancherfi	26.1	tancherfi
????	Aguerd	26.1	aguerd
???????	El Hanchane	26.1	elhanchane
???? ???? ??? ???? ?? ?????	Kasbat Sidi Abdellah Ben M'barek	26.1	kasbatsidiabdellahbenmbarek
?? ???????	Had Al Gharbia	26.0	hadelgharbia
????? ???	Oulad Abbou	26.0	ouledabbou
?????	Martil	26.0	martil
????? ??? ??????	Moulay Abdelkrim	26.0	moulayabdelkrim
????	Galaz	26.0	galaz
?????	El Mers	26.0	elmers
??????? ??????	Imouzzer Marmoucha	26.0	imouzzermarmoucha
?????? ???????	Meknassa Al Gharbia	26.0	meknassaelgharbia
?????? ?????	Laqsabi Tagoust	26.0	laqsabitagoust
???? ??????	Sidi M'bark	26.0	sidimbark
??????	Ouisselsate	26.0	ouisselsate
????? ??????	Toudgha El Oulia	26.0	toudghaeloulia
??? ??????	Dar Chaoui	25.9	darchaoui
????????	Ezzhiliga	25.9	ezzhiliga
???? ???? ????	Khemis Sidi Yahya	25.9	khemissidiyahya
????	Fifi	25.9	fifi
?????	Teroual	25.9	teroual
??????	Rouadi	25.9	rouadi
??????	Nekkour	25.9	nekkour
????????	Zrarda	25.9	zrarda
???? ????	Tizi N'ghachou	25.9	tizinghachou
???? ?????	Ida Ou Kazzou	25.9	idaoukazzou
???????	Imoulass	25.9	imoulass
???? ?????	Sidi Badhaj	25.9	sidibadhaj
??????	Askaouen	25.9	askaouen
????	Siroua	25.9	siroua
????????	Youssoufia	25.8	youssoufia
????? ?????	Aquouass Briech	25.8	aquouassbriech
??????? ???????	Khemisset Chaouia	25.8	khemissetchaouia
??? ??????	Ait Belkacem	25.8	aitbelkacem
??? ??????	Ras Ijerri	25.8	rasijerri
???? ????	Sidi Jaber	25.8	sidijaber
????	Zoumi	25.8	zoumi
?????	Ouannana	25.8	ouannana
????	Oudka	25.8	oudka
?????	Azzaba	25.8	azzaba
?????	Kerrouchen	25.8	kerrouchen
??? ?????	Ait Saadelli	25.8	aitsaadelli
?????	Fezouane	25.8	fezouane
??????	Argana	25.8	argana
???????	Lagfifat	25.8	lagfifat
????????	Tafraouten	25.8	tafraouten
???? ??????	Talat N'yaaqoub	25.8	talatnyaaqoub
???? ????	Sidi Moumen	25.7	sidimoumen
?????	Guettaya	25.7	guettaya
????	Semguet	25.7	semguet
???????	Taghzirt	25.7	taghzirt
???? ???? ??????	Sidi Ahmed Cherif	25.7	sidiahmedcherif
?????	Aknoul	25.7	aknoul
?? ????	Ben Smim	25.7	bensmim
??????	Matmata	25.7	matmata
?????? ?????	Aguelmam Azegza	25.7	aguelmamazegza
??? ????	Ait Baha	25.7	aitbaha
??????	Taghjijt	25.7	taghjijt
?????	Tizguine	25.7	tizguine
????	Adis	25.7	adis
?????? ???????	Sahel Chamali	25.6	sahelchamali
???????	Bouznika	25.6	bouznika
?????? ?? ????	Fquih Ben Salah	25.6	fquihbensalah
????? ?????	Oulad Amghar	25.6	ouledamghar
??????	Ouardana	25.6	ouardana
??? ???????	Bni Bouifrour	25.6	bnibouifrour
??? ??????	Ain Timguenai	25.6	aintimguenai
????? ???	Oulad Dahou	25.6	ouleddahou
???? ??? ???? ?? ?????	Sidi Abdellah Ou Belaid	25.6	sidiabdellahoubelaid
???? ????	Sidi Rahal	25.6	sidirahal
?????	Tiflet	25.5	tiflet
????	Hattane	25.5	hattane
??? ????	Ait Ammar	25.5	aitammar
??? ?????	Kaf El Ghar	25.5	kafelghar
???????	Trougout	25.5	trougout
?????	Iferni	25.5	iferni
???????	Ihaddadene	25.5	ihaddadene
???? ???? ???????	Sidi Hmad Ou M'barek	25.5	sidihmadoumbarek
????	Fask	25.5	fask
??????	Boutrouch	25.5	boutrouch
???? ???????	Mechraa Bel Ksiri	25.4	mechraabelksiri
????? ????? ?????	My Driss Aghbal	25.4	mydrissaghbal
???????	Bouqachmir	25.4	bouqachmir
???? ??	Oued Zem	25.4	ouedzem
??? ????	Hel Merbaa	25.4	helmerbaa
??? ????	Bni Oulid	25.4	bnioulid
?????	Ajdir	25.4	ajdir
???????	Tigrigra	25.4	tigrigra
??????	Tamaloukte	25.4	tamaloukte
??????	Ouneine	25.4	ouneine
??????	Goulmima	25.4	goulmima
????????	Brachoua	25.3	brachoua
