Libelle Arabe	commune	taux_jeunesse	commune_norm
???????	Irohalen	33.7	irohalen
??? ?????	Ait M'hamed	33.7	aitmhamed
?????	Tissaf	33.6	tissaf
??? ???	Bni Guil	33.6	bniguil
???????	Laaouama	33.5	laaouama
???????	Chtaiba	33.5	chtaiba
????????	El Bsabsa	33.5	elbsabsa
??? ?????	Bni Ammart	33.5	bniammart
???????	Tamegroute	33.5	tamegroute
????????	Er-Rissani	33.5	errissani
??????	Mograne	33.4	mograne
??????	Es-Sifa	33.4	essifa
??????	Jabria	33.3	jabria
????????	Jaafra	33.3	jaafra
????? ??????	Oulad Cherki	33.3	ouledcherki
???????	En-Nzala	33.3	ennzala
??????	El Atef	33.3	elatef
?????	Mrija	33.3	mrija
????? ????	Oulad Khallouf	33.3	ouledkhallouf
??? ??????	M'zem Sanhaja	33.2	mzemsanhaja
??????	Boumerieme	33.2	boumerieme
??????? ???????	Zaouia Annahlia	33.2	zaouiaannahlia
?????	Azrar	33.2	azrar
????	Melaab	33.2	melaab
???? ???? ?????	Aarab Sebbah Gheris	33.2	aarabsebbahgheris
?????	Zouada	33.1	zouada
????? ??????	Skoura Lhadra	33.1	skouralhadra
???? ????	Sidi Aayad	33.1	sidiaayad
????? ????	Louad Lakhdar	33.1	louadlakhdar
??? ????	Ait Aadel	33.1	aitaadel
??? ????? ????? ???????	Ait Sedrate Sahl El-Gharbia	33.1	aitsedratesahlelgharbia
?????	Alnif	33.1	alnif
????? ?????	Oulad Ouchih	33.0	ouledouchih
??? ?????	Bni Bchir	33.0	bnibchir
????????	Taouloukoult	33.0	taouloukoult
???? ????	Afalla Issen	33.0	afallaissen
??????	N'kob	33.0	nkob
????? ?????	Ouled Hcine	32.9	ouledhcine
????	Jdour	32.9	jdour
???????	Chouafaa	32.9	chouafaa
???????	Tilougguite	32.9	tilougguite
????????	Imilmaiss	32.9	imilmaiss
?????	Toubkal	32.9	toubkal
?????	Imider	32.9	imider
?????	Lamharra	32.8	lamharra
???? ???? ?????	Sidi Yahia Ou Youssef	32.8	sidiyahiaouyoussef
??????	Gteter	32.8	gteter
?????	Harbil	32.8	harbil
???? ???? ?? ??????	Sidi Aissa Ben Slimane	32.8	sidiaissabenslimane
???????	Tinzouline	32.8	tinzouline
?????? ???????	Aghbalou-N'kerdous	32.8	aghbalounkerdous
????	Mogress	32.7	mogress
?????	Kridid	32.7	kridid
??? ????????	Dar Laaslouji	32.7	darlaaslouji
????? ??????	Oulad Freiha	32.7	ouledfreiha
????? ???? ????	Tiffert N'ait Hamza	32.7	tiffertnaithamza
??????	Ouaouzgane	32.7	ouaouzgane
????	Saka	32.7	saka
??? ????????	Sebt Loudaya	32.7	sebtloudaya
???????	Laajajra	32.7	laajajra
?????	Akarma	32.7	akarma
????????	Afella N'dra	32.7	afellandra
???????	M'semrir	32.7	msemrir
???? ??????	Oued Naam	32.7	ouednaam
??????	Tagleft	32.6	tagleft
???? ??????	Sidi Bouzineb	32.6	sidibouzineb
?????	Ighoud	32.6	ighoud
?????	Ahdil	32.6	ahdil
??? ????? ????? ???????	Ait Sedrate Sahl Charkia	32.6	aitsedratesahlcharkia
????? ???? ??????	Oulad Yahia Lagraire	32.6	ouledyahialagraire
???? ???	Sidi Ali	32.6	sidiali
?????? ????????	Rissana Janoubia	32.5	rissanajanoubia
????? ???????	Moulay Bousselham	32.5	moulaybousselham
????????	Sfafaa	32.5	sfafaa
??????	Eddachra	32.5	eddachra
??? ???????	Dar Bel Amri	32.5	darbelamri
??? ???	Bni Idder	32.5	bniidder
??? ??????	Ait Oumdis	32.5	aitoumdis
?????	Ouaoula	32.5	ouaoula
??????	Tamezmoute	32.5	tamezmoute
?????? ????????	Rissana Chamalia	32.4	rissanachamalia
???????	Rmilat	32.4	rmilat
???????	Boutferda	32.4	boutferda
????????	Mkansa	32.4	mkansa
??? ???????	Ain Tazitounte	32.4	aintazitounte
