commune_norm	commune	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite_x	Indice_accessibilite_y	Indice_transport	indice_densite_routiere_x	Indice_POI_x	densite_norm	Indice_POI_y	indice_densite_routiere_y	indice_transport	Indice_accessibilite	densite
bniidder	Bni Idder	32.5	10.4	0.5719		0.4078	1.56	1.56	0.0	3.12	0.0	0.0081894827017889	0.0	3.12	0.0	1.56	4659.0
bnikhaled	Bni Khaled	27.2	16.9	0.78		0.645	1.91	1.91	0.0	3.71	0.29	0.0109604398277494	0.29	3.71	0.0	1.91	6231.0
bnikhloug	Bni Khloug	29.8	14.1	0.7412		0.3903	2.48	2.48	0.0	4.94	0.07	0.0212915974074276	0.07	4.94	0.0	2.48	12092.0
bnileit	Bni Leit	28.4	12.2	0.6645		0.5345	1.18	1.18	0.0	2.31	0.11	0.0087976126053871	0.11	2.31	0.0	1.18	5004.0
bnilent	Bni Lent	29.2	14.9	0.3617		0.5188	1.71	1.71	0.0	3.41	0.04	0.0190106695950912	0.04	3.41	0.0	1.71	10798.0
bnimakada	Bni Makada	28.2	8.1	0.9665		0.7429	27.09	27.09	39.9	25.85	10.98	1.0	10.98	25.85	39.9	27.09	567326.0
bnimansour	Bni Mansour	33.9	7.9	0.5686		0.3277	0.0	0.0	0.0	0.0	0.0	0.0293435898701422	0.0	0.0	0.0	0.0	16660.0
bnimarghnine	Bni Marghnine	17.9	25.0	0.7741		0.5033	1.04	1.04	0.0	2.05	0.07	0.0087024270552587	0.07	2.05	0.0	1.04	4950.0
bnimathar	Bni Mathar	31.1	11.7	0.5286		0.4425	2.17	2.17	0.48	4.03	0.04	0.0184201666452205	0.04	4.03	0.48	2.17	10463.0
bnimhamedsijelmassa	Bni M'hamed-Sijelmassa	31.3	13.4	0.8291		0.7284	3.64	3.64	0.0	7.13	0.4	0.0209972272801786	0.4	7.13	0.0	3.64	11925.0
bnioual	Bni Oual	26.8	16.3	0.5444		0.5151	4.72	4.72	0.0	9.45	0.0	0.0116514164138667	0.0	9.45	0.0	4.72	6623.0
bnioukil	Bni Oukil	29.1	15.2	0.8315		0.5667	3.0	3.0	0.0	5.98	0.04	0.0248205135436698	0.04	5.98	0.0	3.0	14094.0
bnioukilouledmhand	Bni Oukil Oulad M'hand	30.2	11.4	0.6695		0.4599	1.2	1.2	0.96	1.75	0.18	0.0258446395552367	0.18	1.75	0.96	1.2	14675.0
bnioulid	Bni Oulid	25.4	17.1	0.6316		0.5464	0.34	0.34	0.0	0.67	0.04	0.0157814116722162	0.04	0.67	0.0	0.34	8966.0
bniounjeltafraout	Bni Ounjel Tafraout	27.2	17.0	0.3602		0.4733	0.73	0.73	0.0	1.44	0.04	0.010535630242917	0.04	1.44	0.0	0.73	5990.0
bniquolla	Bni Quolla	23.6	18.2	0.583		0.4831	1.41	1.41	0.0	2.72	0.26	0.0238633699562675	0.26	2.72	0.0	1.41	13551.0
bnirzine	Bni Rzine	29.9	9.6	0.7491		0.5572	1.81	1.81	0.0	3.6	0.04	0.0291303037300396	0.04	3.6	0.0	1.81	16539.0
bnisaid	Bni Said	29.3	11.0	0.7367		0.582	1.27	1.27	0.48	2.24	0.04	0.018423692035966	0.04	2.24	0.48	1.27	10465.0
bnisalah	Bni Salah	33.8	8.1	0.8097		0.5388	5.6	5.6	0.0	11.18	0.04	0.0185470807120584	0.04	11.18	0.0	5.6	10535.0
bniselmane	Bni Selmane	30.5	9.0	0.595		0.3886	1.28	1.28	0.0	2.55	0.04	0.0377216809768152	0.04	2.55	0.0	1.28	21413.0
bnisideljbel	Bni Sidel Jbel	23.9	20.9	0.8447		0.5909	1.28	1.28	0.0	2.5	0.15	0.0144206108444544	0.15	2.5	0.0	1.28	8194.0
bnisidellouta	Bni Sidel Louta	23.8	21.3	0.7604		0.4667	2.06	2.06	0.0	4.06	0.15	0.0092559134023017	0.15	4.06	0.0	2.06	5264.0
bnismih	Bni Smih	33.7	8.7	0.6799		0.4811	1.54	1.54	0.0	3.04	0.11	0.0245102791580661	0.11	3.04	0.0	1.54	13918.0
bnismir	Bni Smir	26.1	18.8	0.7001		0.6101	3.25	3.25	0.24	6.24	0.29	0.0081824319202979	0.29	6.24	0.24	3.25	4655.0
bnisnous	Bni Snous	28.3	14.4	0.6369		0.4173	3.89	3.89	0.0	7.77	0.04	0.0148401323431685	0.04	7.77	0.0	3.89	8432.0
bnitadjite	Bni Tadjite	29.5	13.7	0.67		0.558	1.38	1.38	0.0	2.62	0.33	0.0300962607943057	0.33	2.62	0.0	1.38	17087.0
bnitsiriss	Bni Tsiriss	29.6	16.7	0.7027		0.4019	0.79	0.79	0.0	1.58	0.0	0.022529009559097	0.0	1.58	0.0	0.79	12794.0
bniyagrine	Bni Yagrine	34.9	10.1	0.4984		0.1349	1.38	1.38	0.0	2.76	0.0	0.0230648689524125	0.0	2.76	0.0	1.38	13098.0
bniyakhlef	Bni Yakhlef	29.2	9.5	0.9723		0.7989	9.42	9.42	8.89	13.03	1.21	0.207356432868628	1.21	13.03	8.89	9.42	117649.0
bniykhlef	Bni Ykhlef	30.0	15.7	0.7813		0.5921	5.1	5.1	0.0	10.18	0.04	0.0157144292480517	0.04	10.18	0.0	5.1	8928.0
bnizoli	Bni Zoli	34.2	11.2	0.7212		0.5938	1.82	1.82	0.0	3.56	0.18	0.0286032578135879	0.18	3.56	0.0	1.82	16240.0
bnizrantel	Bni Zrantel	26.6	17.1	0.6392		0.5449	2.11	2.11	0.0	4.22	0.0	0.009730078457571	0.0	4.22	0.0	2.11	5533.0
bouabout	Bouabout	31.3	18.3	0.516		0.2133	4.03	4.03	0.0	8.04	0.04	0.0172920416066615	0.04	8.04	0.0	4.03	9823.0
bouaboutamdlane	Bouabout Amdlane	33.7	16.9	0.2828		0.2782	2.08	2.08	0.0	4.15	0.04	0.0112671488226076	0.04	4.15	0.0	2.08	6405.0
bouadel	Bouadel	28.4	15.3	0.5448		0.5095	2.81	2.81	0.0	5.58	0.11	0.0203608942506165	0.11	5.58	0.0	2.81	11564.0
bouanane	Bouanane	32.1	11.3	0.5268		0.5651	0.48	0.48	0.0	0.93	0.07	0.0188396881439346	0.07	0.93	0.0	0.48	10701.0
bouarfa	Bouarfa	26.8	13.3	0.9587		0.7252	5.94	5.94	0.0	11.48	0.99	0.0484247672801434	0.99	11.48	0.0	5.94	27485.0
bouarg	Bouarg	29.2	11.6	0.8627		0.6374	7.8	7.8	15.14	6.41	0.29	0.0786373659690505	0.29	6.41	15.14	7.8	44625.0
bouarouss	Bouarouss	31.6	13.2	0.3738		0.3676	1.93	1.93	0.0	3.81	0.11	0.0287601377017625	0.11	3.81	0.0	1.93	16329.0
bouazmou	Bou-Azmou	32.0	12.2	0.658		0.4753	0.89	0.89	0.0	1.45	0.81	0.0177750201387946	0.81	1.45	0.0	0.89	10097.0
bouchabel	Bouchabel	30.2	13.2	0.3362		0.2483	1.6	1.6	0.0	3.15	0.11	0.0242441121567811	0.11	3.15	0.0	1.6	13767.0
bouchane	Bouchane	30.2	13.4	0.7435		0.5312	0.8	0.8	0.0	1.57	0.07	0.0168830962801839	0.07	1.57	0.0	0.8	9591.0
bouchaouene	Bouchaouene	36.7	9.4	0.1467		0.0289	0.5	0.5	0.0	0.98	0.07	0.0268387997454667	0.07	0.98	0.0	0.5	15239.0
bouchfaa	Bouchfaa	28.9	14.8	0.6285		0.6458	2.55	2.55	0.0	5.05	0.11	0.0177679693573036	0.11	5.05	0.0	2.55	10093.0
boudinar	Boudinar	22.0	21.8	0.7467		0.4593	0.64	0.64	0.0	1.22	0.15	0.0140680717699047	0.15	1.22	0.0	0.64	7994.0
boudnib	Boudnib	29.9	12.7	0.9574		0.8041	12.28	12.28	0.0	24.36	0.48	0.0220354548547274	0.48	24.36	0.0	12.28	12514.0
boufakrane	Boufakrane	27.1	12.7	0.9647		0.7764	10.5	10.5	0.48	20.34	0.95	0.0297490098058743	0.95	20.34	0.48	10.5	16890.0
boughriba	Boughriba	24.0	17.7	0.7808		0.5615	4.22	4.22	0.0	8.37	0.18	0.0334894493868464	0.18	8.37	0.0	4.22	19012.0
bouguargouh	Bouguargouh	30.4	13.3	0.7681		0.5564	3.64	3.64	0.0	7.28	0.0	0.0171069585925229	0.0	7.28	0.0	3.64	9718.0
bouguedra	Bouguedra	28.8	15.1	0.7562		0.5314	1.61	1.61	0.24	2.91	0.4	0.0276619784845402	0.4	2.91	0.24	1.61	15706.0
bouhlou	Bouhlou	27.6	16.5	0.7839		0.6027	4.01	4.01	0.0	8.01	0.04	0.0149652837146337	0.04	8.01	0.0	4.01	8503.0
bouhmame	Bouhmame	29.6	14.1	0.6361		0.4904	2.4	2.4	0.0	4.81	0.0	0.0416419154858076	0.0	4.81	0.0	2.4	23637.0
bouhouda	Bouhouda	31.8	13.0	0.3871		0.443	2.3	2.3	0.0	4.59	0.04	0.0437324721978872	0.04	4.59	0.0	2.3	24823.0
bouizakarne	Bouizakarne	29.2	10.4	0.9837		0.7659	9.75	9.75	0.0	18.88	1.54	0.0280973642416091	1.54	18.88	0.0	9.75	15953.0
boujdour	Boujdour	30.1	6.9	0.9773		0.6903						0.1002057065499997	0.0	0.0	0.0		56861.0
boujedyane	Boujedyane	27.7	14.8	0.4822		0.3099	1.51	1.51	0.0	2.97	0.11	0.0169395025321119	0.11	2.97	0.0	1.51	9623.0
boujniba	Boujniba	25.3	18.5	0.9909		0.8701	10.32	10.32	1.44	19.65	0.29	0.0259257235423831	0.29	19.65	1.44	10.32	14721.0
boukhrisse	Boukhrisse	29.1	17.1	0.3689		0.3831	1.2	1.2	0.0	2.41	0.0	0.0075972170565455	0.0	2.41	0.0	1.2	4323.0
boukraa	Boukraa	22.8	15.7	0.9201		0.588						0.0017785596311031	0.0	0.0	0.0		1022.0
boulanouare	Boulanouare	25.3	16.5	0.8732		0.8272	3.38	3.38	3.85	4.36	0.22	0.0264933114524081	0.22	4.36	3.85	3.38	15043.0
boulaouane	Boulaouane	27.7	15.7	0.7843		0.4334	2.3	2.3	0.0	4.49	0.29	0.0259592147544653	0.29	4.49	0.0	2.3	14740.0
boulemane	Boulemane	24.0	17.2	0.9447	4.0	0.678	3.36	3.36	0.24	6.36	0.55	0.0118911429845605	0.55	6.36	0.24	3.36	6759.0
boumaiz	Boumaiz	29.3	12.6	0.7959		0.6755	3.7	3.7	0.0	7.37	0.07	0.0399779310539331	0.07	7.37	0.0	3.7	22693.0
boumalnedades	Boumalne-Dades	29.0	13.4	0.9455	2.0	0.7387	6.12	6.12	0.24	11.25	2.09	0.0212598688907181	2.09	11.25	0.24	6.12	12074.0
boumerieme	Boumerieme	33.2	12.7	0.1989		0.229	0.51	0.51	0.0	0.99	0.07	0.0141896977506244	0.07	0.99	0.0	0.51	8063.0
boumia	Boumia	27.1	12.9	0.9163		0.622	2.36	2.36	0.0	4.68	0.11	0.0382434388071487	0.11	4.68	0.0	2.36	21709.0
bounaamane	Bounaamane	24.0	22.0	0.7975		0.4924	2.85	2.85	0.0	5.65	0.11	0.0156298198701598	0.11	5.65	0.0	2.85	8880.0
bounrar	Bounrar	27.7	18.3	0.2576		0.395	1.36	1.36	0.0	2.7	0.07	0.0087817483470324	0.07	2.7	0.0	1.36	4995.0
bouqachmir	Bouqachmir	25.4	17.0	0.0793		0.2928	2.56	2.56	0.0	5.12	0.0	0.0050483595475513	0.0	5.12	0.0	2.56	2877.0
bourd	Bourd	27.7	14.8	0.6189		0.5415	1.5	1.5	0.0	2.99	0.04	0.0123089017879019	0.04	2.99	0.0	1.5	6996.0
bourrous	Bourrous	30.5	12.4	0.6682		0.441	1.52	1.52	0.0	3.02	0.04	0.011110268934433	0.04	3.02	0.0	1.52	6316.0
bouskoura	Bouskoura	28.5	8.4	0.988		0.7883	16.28	16.28	16.35	21.51	3.12	0.3526642259211405	3.12	21.51	16.35	16.28	200084.0
boutferda	Boutferda	32.4	10.2	0.191		0.351	1.12	1.12	0.0	2.15	0.22	0.0139940385642493	0.22	2.15	0.0	1.12	7952.0
boutrouch	Boutrouch	25.5	24.5	0.8071		0.4968	1.71	1.71	0.0	3.4	0.04	0.0047240235989656	0.04	3.4	0.0	1.71	2693.0
bouyablane	Bouyablane	28.8	11.5	0.0601		0.1817	1.7	1.7	0.0	3.35	0.11	0.0029154981465258	0.11	3.35	0.0	1.7	1667.0
bouyaomar	Bouya Omar	31.2	13.1	0.7946		0.475	1.32	1.32	0.0	2.64	0.0	0.0258640292043369	0.0	2.64	0.0	1.32	14686.0
bouzemmour	Bouzemmour	29.5	21.2	0.1031		0.1507	1.27	1.27	0.0	2.53	0.04	0.0069221047287828	0.04	2.53	0.0	1.27	3940.0
bouzeroual	Bouzeroual	35.4	11.4	0.7248		0.5381	3.46	3.46	0.0	6.92	0.0	0.017554683217201	0.0	6.92	0.0	3.46	9972.0
bouznika	Bouznika	25.6	13.1	0.9758	1.0	0.8041	4.97	4.97	0.0	8.92	2.53	0.0981715560898481	2.53	8.92	0.0	4.97	55707.0
brachoua	Brachoua	25.3	16.4	0.7338		0.6131	1.47	1.47	0.0	2.87	0.18	0.0202568952236243	0.18	2.87	0.0	1.47	11505.0
bradia	Bradia	28.3	16.5	0.907		0.6502	2.11	2.11	0.0	4.16	0.15	0.0652073899240807	0.15	4.16	0.0	2.11	37006.0
braksa	Braksa	29.5	14.2	0.7048		0.4985	3.27	3.27	0.0	6.53	0.04	0.0122242924100099	0.04	6.53	0.0	3.27	6948.0
brarha	Brarha	26.1	17.6	0.0853		0.2725	5.58	5.58	0.0	11.16	0.0	0.0116549418046122	0.0	11.16	0.0	5.58	6625.0
brikcha	Brikcha	23.2	17.5	0.3962		0.4729	2.29	2.29	0.0	4.49	0.22	0.0154482622467667	0.22	4.49	0.0	2.29	8777.0
bsara	Bsara	30.3	15.1	0.6193		0.483	2.35	2.35	0.0	4.67	0.07	0.0023302832827733	0.07	4.67	0.0	2.35	1335.0
bzou	Bzou	26.3	18.9	0.8582		0.7165	2.25	2.25	0.0	4.4	0.26	0.0239532674202776	0.26	4.4	0.0	2.25	13602.0
chahda	Chahda	28.8	15.1	0.7455		0.5951	2.23	2.23	0.0	4.45	0.04	0.018395488910002	0.04	4.45	0.0	2.23	10449.0
chaibate	Chaibate	27.9	17.1	0.6708		0.5158	2.55	2.55	0.0	5.09	0.04	0.017288516215916	0.04	5.09	0.0	2.55	9821.0
chakrane	Chakrane	29.7	12.8	0.2686		0.2606	1.15	1.15	0.0	2.28	0.07	0.0057763527364964	0.07	2.28	0.0	1.15	3290.0
charfmghogha					1.0		22.3	22.3	40.38	16.61	9.4		9.4	16.61	40.38	22.3	
charfsouani							47.03	47.03	18.03	80.66	6.46		6.46	80.66	18.03	47.03	
charqaoua	Charqaoua	30.3	13.1	0.5726		0.4993	3.02	3.02	0.0	6.02	0.04	0.0083093459871358	0.04	6.02	0.0	3.02	4727.0
charrate	Charrate	27.7	13.0	0.8948		0.6666	6.06	6.06	0.0	12.01	0.26	0.0198285602480464	0.26	12.01	0.0	6.06	11262.0
chbanate	Chbanate	27.2	15.3	0.7637		0.6647	5.32	5.32	0.0	10.61	0.07	0.0181381353855808	0.07	10.61	0.0	5.32	10303.0
chbika	Chbika	13.7	17.6	0.4037		0.647	1.14	1.14	0.0	2.16	0.29	0.0002978955179944	0.29	2.16	0.0	1.14	182.0
chefchaouen	Chefchaouen	24.8	13.1	0.9764	4.0	0.7852	12.05	12.05	2.16	13.96	22.11	0.0810698855834433	22.11	13.96	2.16	12.05	46005.0
chichaoua	Chichaoua	30.5	9.7	0.9389		0.7164	7.07	7.07	3.85	11.48	0.88	0.0673226243713787	0.88	11.48	3.85	7.07	38206.0
choara	Choara	31.2	11.7	0.8586		0.6709	2.82	2.82	0.0	5.65	0.0	0.0215683405809491	0.0	5.65	0.0	2.82	12249.0
chorfamdaghra	Chorfa M'daghra	31.8	12.1	0.9285		0.8078	0.75	0.75	0.0	1.36	0.37	0.0307942881619141	0.37	1.36	0.0	0.75	17483.0
chouafaa	Chouafaa	32.9	10.1	0.6303		0.3398	4.69	4.69	0.0	9.37	0.04	0.037652935857278	0.04	9.37	0.0	4.69	21374.0
chougrane	Chougrane	27.3	17.9	0.5276		0.4424	3.62	3.62	0.0	7.22	0.07	0.0098305520938176	0.07	7.22	0.0	3.62	5590.0
chouihia	Chouihia	24.5	18.3	0.7823		0.529	2.11	2.11	0.0	4.14	0.22	0.0198056452082007	0.22	4.14	0.0	2.11	11249.0
chtaiba	Chtaiba	33.5	13.5	0.7917		0.5147	1.61	1.61	0.0	3.2	0.04	0.0149247417210605	0.04	3.2	0.0	1.61	8480.0
chtouka	Chtouka	30.1	11.8	0.6366		0.4069	3.83	3.83	0.24	7.45	0.18	0.0670018138135385	0.18	7.45	0.24	3.83	38024.0
dakhla	Dakhla	28.4	5.1	0.9671		0.7515						0.28504546872714	0.0	0.0	0.0		161723.0
daoura	Daoura	13.6	25.5	0.7821		0.2687						0.0015670361863733	0.0	0.0	0.0		902.0
darbelamri	Dar Bel Amri	32.5	10.8	0.7374		0.6002	1.28	1.28	0.0	2.51	0.11	0.0572523457068672	0.11	2.51	0.0	1.28	32493.0
darbnikarrich	Dar Bni Karrich	28.5	11.5	0.9085		0.6125	6.06	6.06	4.57	9.22	0.4	0.0178067486555041	0.4	9.22	4.57	6.06	10115.0
darbouazza	Dar Bouazza	28.6	8.5	0.9795	2.0	0.7577	26.7	26.7	13.46	43.54	4.44	0.5339292418823471	4.44	43.54	13.46	26.7	302918.0
darchaffai	Dar Chaffai	31.9	12.4	0.437		0.2033	3.27	3.27	0.0	6.54	0.0	0.030662086008958	0.0	6.54	0.0	3.27	17408.0
darchaoui	Dar Chaoui	25.9	14.1	0.7721		0.5884	3.67	3.67	9.13	1.8	0.15	0.0078545705809667	0.15	1.8	9.13	3.67	4469.0
darelhamra	Dar El Hamra	23.1	21.6	0.4864		0.399	1.9	1.9	0.0	3.75	0.11	0.0062170265796835	0.11	3.75	0.0	1.9	3540.0
darelkebdani	Dar El Kebdani	23.1	20.3	0.8573		0.6011	1.94	1.94	0.0	3.78	0.26	0.0148612846876415	0.26	3.78	0.0	1.94	8444.0
dargueddari	Dar Gueddari	30.2	11.1	0.9198		0.7524	16.13	16.13	0.0	32.25	0.04	0.013771938947283	0.04	32.25	0.0	16.13	7826.0
darjamaa	Dar Jamaa	26.4	17.3	0.6256		0.4205	1.82	1.82	0.0	3.64	0.0	0.0108775931452302	0.0	3.64	0.0	1.82	6184.0
darlaaslouji	Dar Laaslouji	32.7	9.8	0.5983		0.4246	3.98	3.98	0.0	7.95	0.0	0.0635610324459337	0.0	7.95	0.0	3.98	36072.0
darouldzidouh	Dar Ould Zidouh	30.7	13.9	0.8507		0.6352	4.62	4.62	0.0	9.19	0.11	0.0530571307197261	0.11	9.19	0.0	4.62	30113.0
daroumsoltane	Dar Oum Soltane	27.2	14.0	0.8572		0.6747	6.39	6.39	0.0	12.76	0.04	0.0108775931452302	0.04	12.76	0.0	6.39	6184.0
darsiaissa	Dar Si Aissa	29.4	14.2	0.6878		0.4729	3.75	3.75	0.0	7.47	0.07	0.0210395319691246	0.07	7.47	0.0	3.75	11949.0
dayataoua	Dayat-Aoua	31.6	9.9	0.6972		0.5393	1.38	1.38	0.0	2.67	0.22	0.0212140388110267	0.22	2.67	0.0	1.38	12048.0
dcheira	Dcheira	14.9	29.0	0.8228		0.6322						0.0015652734910005	0.0	0.0	0.0		901.0
dcheiraeljihadia	Dcheira El Jihadia	24.6	12.1	0.9884	1.0	0.8563	19.97	19.97	13.46	29.75	5.29	0.1951286150678725	5.29	29.75	13.46	19.97	110712.0
debdou	Debdou	26.2	17.1	0.9676		0.7146	5.01	5.01	0.0	9.93	0.22	0.007810503196648	0.22	9.93	0.0	5.01	4444.0
demnate	Demnate	26.8	13.0	0.9451	2.0	0.6827	7.36	7.36	0.0	14.23	1.21	0.0592530049549366	1.21	14.23	0.0	7.36	33628.0
derdara	Derdara	29.3	11.5	0.5794		0.5451	1.64	1.64	0.48	2.8	0.48	0.0198532379832649	0.48	2.8	0.48	1.64	11276.0
deroua	Deroua	29.4	9.3	0.9851		0.784	7.05	7.05	1.44	12.57	1.65	0.1698709530717611	1.65	12.57	1.44	7.05	96383.0
direlksiba	Dir El Ksiba	27.4	13.9	0.8223		0.6255	2.59	2.59	0.0	5.14	0.11	0.0455445230410725	0.11	5.14	0.0	2.59	25851.0
dkhissa	Dkhissa	30.5	10.7	0.8867		0.7275	2.08	2.08	0.96	3.36	0.55	0.0497044841207587	0.55	3.36	0.96	2.08	28211.0
douirane	Douirane	32.0	12.4	0.5684		0.4761	0.71	0.71	0.0	1.38	0.11	0.0303906309215547	0.11	1.38	0.0	0.71	17254.0
drargua	Drargua	30.6	8.2	0.9484		0.7347	6.2	6.2	10.1	5.62	1.8	0.1894086685833041	1.8	5.62	10.1	6.2	107467.0
driouch	Driouch	28.1	12.8	0.9037		0.5958	10.07	10.07	0.0	19.56	1.43	0.0275685556297846	1.43	19.56	0.0	10.07	15653.0
dzouz	Dzouz	32.4	12.8	0.8308		0.6011	1.15	1.15	0.0	2.3	0.0	0.020293911826452	0.0	2.3	0.0	1.15	11526.0
echateaelabied	Echatea El Abied	20.5	24.5	0.8718		0.5619	2.45	2.45	0.0	4.88	0.07	0.0016022900938282	0.07	4.88	0.0	2.45	922.0
echchallalate	Ech-challalate	30.7	8.7	0.9434	1.0	0.7629	9.71	9.71	4.81	16.36	0.44	0.1727406211385954	0.44	16.36	4.81	9.71	98011.0
echemmaia	Echemmaia	28.2	12.9	0.936		0.7321	2.79	2.79	0.0	5.33	0.62	0.0458318423868305	0.62	5.33	0.0	2.79	26014.0
eddachra	Eddachra	32.5	13.8	0.8565		0.6434	0.82	0.82	0.0	1.64	0.0	0.0121908011979277	0.0	1.64	0.0	0.82	6929.0
eddir	Eddir	28.2	13.3	0.7077		0.4557	0.78	0.78	0.0	1.57	0.0	0.0136679399202909	0.0	1.57	0.0	0.78	7767.0
elaamria	El Aamria	30.5	13.0	0.8466		0.5881	1.55	1.55	0.0	3.06	0.11	0.0151609429010087	0.11	3.06	0.0	1.55	8614.0
elaaroui	Al Aaroui	26.1	14.6	0.9075		0.6238	8.68	8.68	4.81	13.78	1.73	0.081990012568018	1.73	13.78	4.81	8.68	46527.0
elaiounsidimellouk	El Aioun Sidi Mellouk	25.1	16.8	0.9117		0.7057	18.01	18.01	0.24	35.66	0.55	0.0716271264716303	0.55	35.66	0.24	18.01	40648.0
elargoub	El Argoub	2.0	2.5	0.925		0.8443						0.0185876227056316	0.0	0.0	0.0		10558.0
elatef	El Atef	33.3	9.7	0.0845		0.1567	1.85	1.85	0.0	3.68	0.04	0.0016146289614375	0.04	3.68	0.0	1.85	929.0
elbahraoyine	Al Bahraoyine	31.7	9.0	0.9186		0.7087	5.07	5.07	8.17	5.16	0.18	0.0272230673367259	0.18	5.16	8.17	5.07	15457.0
elbarkanyene	Al Barkanyene	21.5	21.6	0.6731		0.6204	1.42	1.42	0.0	2.69	0.37	0.003992505019275	0.37	2.69	0.0	1.42	2278.0
elbeddouza	El Beddouza	31.1	11.5	0.6169		0.4367	3.08	3.08	0.0	6.08	0.22	0.0251413241015101	0.22	6.08	0.0	3.08	14276.0
elbibane	El Bibane	26.2	17.4	0.5736		0.5928	1.93	1.93	0.0	3.62	0.59	0.0102941409768505	0.59	3.62	0.0	1.93	5853.0
elborj	El Borj	22.8	20.0	0.1995		0.45	1.4	1.4	0.0	2.72	0.22	0.0057340480475504	0.22	2.72	0.0	1.4	3266.0
elborouj	El Borouj	27.2	13.6	0.9033	1.0	0.6677	11.67	11.67	0.0	23.14	0.48	0.0342333068341462	0.48	23.14	0.0	11.67	19434.0
elbsabsa	El Bsabsa	33.5	13.1	0.3217		0.3762	1.54	1.54	0.0	3.07	0.0	0.0131549955668211	0.0	3.07	0.0	1.54	7476.0
elfaid	El Faid	26.6	20.0	0.7259		0.4731	0.74	0.74	0.0	1.4	0.22	0.0185788092287678	0.22	1.4	0.0	0.74	10553.0
elfida	Al-Fida	16.8	22.2	0.9806	1.0	0.8295	56.37	56.37	18.75	99.93	3.89	0.2216836208583268	3.89	99.93	18.75	56.37	125777.0
elfoqra	El Foqra	29.3	16.8	0.7761		0.5359	2.74	2.74	0.0	5.49	0.0	0.0052034767403532	0.0	5.49	0.0	2.74	2965.0
elgantour	El Gantour	28.2	14.8	0.8219		0.6654	1.81	1.81	0.0	3.61	0.04	0.0304188340475187	0.04	3.61	0.0	1.81	17270.0
elganzra	El Ganzra	30.7	13.3	0.5383		0.5328	1.01	1.01	0.0	2.03	0.0	0.0242758406734906	0.0	2.03	0.0	1.01	13785.0
elgara	El Gara	25.0	15.6	0.9472		0.7241	15.31	15.31	0.0	30.58	0.11	0.0360524084588225	0.11	30.58	0.0	15.31	20466.0
elghiate	El Ghiate	30.8	15.4	0.4357		0.3986	1.51	1.51	0.0	3.0	0.07	0.040707686938251	0.07	3.0	0.0	1.51	23107.0
elgouraani	El Gouraani	30.6	14.7	0.7143		0.5784	1.76	1.76	0.0	3.51	0.04	0.0191181940128288	0.04	3.51	0.0	1.76	10859.0
elgouzate	El Gouzate	27.9	16.1	0.2487		0.5651	5.69	5.69	0.0	11.37	0.04	0.0104510208650251	0.04	11.37	0.0	5.69	5942.0
elguerdane	El Guerdane	27.0	11.7	0.9368		0.7423	13.0	13.0	0.0	25.92	0.18	0.0242018074678352	0.18	25.92	0.0	13.0	13743.0
elhagounia	El Hagounia	22.1	13.9	0.7105		0.6959						0.0009659570642661	0.0	0.0	0.0		561.0
elhajeb	El Hajeb	25.0	14.5	0.9793		0.7906	8.29	8.29	0.24	15.21	3.08	0.0717804809690594	3.08	15.21	0.24	8.29	40735.0
elhammam	El Hammam	23.8	19.1	0.5768		0.5244	1.3	1.3	0.0	2.55	0.15	0.0170699419896952	0.15	2.55	0.0	1.3	9697.0
elhamra	Al Hamra	29.3	10.5	0.7037		0.5631	3.19	3.19	3.85	3.93	0.37	0.0209126179022867	0.37	3.93	3.85	3.19	11877.0
elhanchane	El Hanchane	26.1	14.4	0.8875		0.684	4.98	4.98	0.0	9.89	0.15	0.009211846017983	0.15	9.89	0.0	4.98	5239.0
elhaouafate	Al Haouafate	30.4	12.9	0.7269		0.543	3.0	3.0	0.24	5.85	0.04	0.0326363048264362	0.04	5.85	0.24	3.0	18528.0
elhoceima	Al Hoceima	22.6	17.0	0.9628		0.7333	10.96	10.96	0.48	20.38	3.12	0.0873380303289365	3.12	20.38	0.48	10.96	49561.0
eljadida	El Jadida	24.5	13.9	0.9904	5.0	0.8381	41.75	41.75	31.01	55.47	23.54	0.4154108931048645	23.54	55.47	31.01	41.75	235681.0
elkbab	El Kbab	24.0	17.1	0.7277		0.5946	2.5	2.5	0.0	4.83	0.44	0.0256630819318436	0.44	4.83	0.0	2.5	14572.0
elkelaadessraghna					2.0		15.52	15.52	0.0	29.55	3.71					15.52	
elkharroub	Al Kharroub	28.6	15.5	0.6066		0.4377	0.0	0.0	0.0	0.0	0.0	0.0036769825475531	0.0	0.0	0.0	0.0	2099.0
elkoudiaelbeida	El Koudia El Beida	26.8	13.4	0.8671		0.6073	2.8	2.8	0.0	5.53	0.18	0.0416877455654991	0.18	5.53	0.0	2.8	23663.0
elksiba	El Ksiba	22.8	18.5	0.9321		0.7197	11.54	11.54	0.0	22.92	0.4	0.0351587219048391	0.4	22.92	0.0	11.54	19959.0
elmaaderelkabir	El Maader El Kabir	21.0	23.1	0.9096		0.642	3.35	3.35	0.0	6.63	0.18	0.01055678258739	0.18	6.63	0.0	3.35	6002.0
elmaarif					5.0		54.9	54.9	40.62	75.58	24.61					54.9	
