commune_norm	commune	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite_x	Indice_accessibilite_y	Indice_transport	indice_densite_routiere_x	Indice_POI_x	densite_norm	Indice_POI_y	indice_densite_routiere_y	indice_transport	Indice_accessibilite	densite
ainmaatouf	Ain Maatouf	29.2	16.7	0.4482		0.5108	2.24	2.24	0.0	4.46	0.07	0.0151486040333995	0.07	4.46	0.0	2.24	8607.0
ainmediouna	Ain Mediouna	28.4	16.5	0.6372		0.663	1.86	1.86	0.0	3.71	0.04	0.0266202255192459	0.04	3.71	0.0	1.86	15115.0
ainorma	Ain Orma	25.0	18.3	0.7898		0.6248	7.68	7.68	0.0	15.33	0.07	0.0057499123059052	0.07	15.33	0.0	7.68	3275.0
ainsbit	Ain Sbit	28.3	16.1	0.6424		0.5139	1.3	1.3	0.0	2.59	0.04	0.0183531842210561	0.04	2.59	0.0	1.3	10425.0
ainsebaa	Aïn-Sebaâ	21.1	17.0	0.9977		0.8434	37.23	37.23	29.09	54.62	5.95		5.95	54.62	29.09	37.23	
ainsfa	Ain Sfa	29.4	16.3	0.5471		0.4501	1.12	1.12	0.0	1.99	0.62	0.0077082668650286	0.62	1.99	0.0	1.12	4386.0
aintaoujdate	Ain Taoujdate	26.8	13.2	0.9383		0.7616	13.66	13.66	3.37	24.98	0.77	0.0582306416387426	0.77	24.98	3.37	13.66	33048.0
aintazitounte	Ain Tazitounte	32.4	15.3	0.4298		0.315	1.28	1.28	0.0	2.53	0.07	0.0081648049665704	0.07	2.53	0.0	1.28	4645.0
aintimguenai	Ain Timguenai	25.6	17.1	0.9121		0.6493	7.42	7.42	0.0	14.83	0.0	0.011607349029548	0.0	14.83	0.0	7.42	6598.0
aintizgha	Ain Tizgha	30.7	10.3	0.9342		0.7494	3.12	3.12	0.0	6.2	0.11	0.0335775841554838	0.11	6.2	0.0	3.12	19062.0
ainzohra	Ain Zohra	27.4	16.6	0.6988		0.4661	1.28	1.28	0.0	2.48	0.18	0.0153195854845561	0.18	2.48	0.0	1.28	8704.0
aitaadel	Ait Aadel	33.1	9.8	0.7725		0.378	1.93	1.93	0.0	3.86	0.0	0.0153548393920111	0.0	3.86	0.0	1.93	8724.0
aitabbas	Ait Abbas	36.8	8.3	0.1866		0.269	2.04	2.04	0.0	4.06	0.04	0.02384574300254	0.04	4.06	0.0	2.04	13541.0
aitabdallah	Ait Abdallah	15.9	34.4	0.6921		0.3259	2.93	2.93	0.0	5.79	0.18	0.0027868213843151	0.18	5.79	0.0	2.93	1594.0
aitaissaihahane	Ait Aissa Ihahane	23.5	27.0	0.4128		0.2474						0.0044948732005083	0.0	3.56	0.0		2563.0
